# k, dcTc13, dcTc13_EdS, dcTx13, dcTx13_EdS, PL_cc, TL_x 
0.05 -58.052 -59.398 -51.354 -54.714 2923.6 0.9211368720642467
0.054132 -62.567 -64.08 -55.166 -58.469 2701.7 0.9124261508822792
0.058605 -68.155 -69.774 -59.9 -63 2517.1 0.9029146983006477
0.063448 -74.38 -76.001 -65.149 -67.835 2346.7 0.8925551424614794
0.068691 -80.186 -81.951 -69.977 -72.223 2165.7 0.881301576856558
0.074368 -84.575 -86.465 -73.419 -75.147 1953.3 0.8691104059559449
0.080513 -86.257 -88.25 -74.492 -75.537 1704.7 0.8559412824731757
0.087166 -85.324 -87.312 -73.217 -73.495 1441.3 0.841758128551931
0.09437 -83.116 -85.157 -70.831 -70.385 1201.4 0.826530228817
0.10217 -82.578 -84.398 -69.889 -68.382 1016.5 0.8102333784106973
0.11061 -85.135 -87.384 -71.336 -69.282 898.71 0.792851063955489
0.11975 -91.625 -94.2 -75.944 -72.947 826.99 0.7743756500188642
0.12965 -98.37 -101.13 -80.647 -76.335 757.69 0.7548095383392022
0.14036 -99.719 -102.66 -80.769 -75.369 656.46 0.7341662620906863
0.15196 -95.605 -98.286 -76.405 -70.026 536.28 0.7124714731632105
0.16452 -92.205 -94.97 -72.428 -65.507 441.99 0.6897637771943487
0.17811 -95.218 -98.381 -73.359 -65.531 390.4 0.6660953693249665
0.19283 -101.22 -104.51 -76.523 -67.047 353.72 0.6415324237694293
0.20877 -100.3 -103.45 -74.293 -63.742 298.59 0.6161551926769473
0.22602 -95.77 -99.066 -69.099 -58.454 243.73 0.5900577747262254
0.2447 -97.414 -100.91 -68.292 -56.848 211.68 0.563347521645658
0.26492 -99.62 -103.34 -67.712 -55.404 184.79 0.5361440614382196
0.28681 -96.232 -99.955 -63.282 -50.835 152.35 0.5085779303747651
0.31051 -96.271 -100.1 -61.152 -48.125 130.04 0.48078882143963897
0.33617 -96.175 -100.24 -58.658 -45.403 111 0.452923474266373
0.36395 -93.963 -98.079 -54.881 -41.697 92.572 0.42513324984988543
0.39402 -93.838 -97.995 -52.293 -38.96 78.851 0.3975714514153097
0.42658 -91.784 -96.18 -48.594 -35.624 65.94 0.37039046955703725
0.46184 -91.106 -95.305 -45.695 -32.76 55.7 0.34373884385405784
0.5 -89.276 -93.565 -42.207 -29.731 46.623 0.3177583433687081
