# k, dcTc13, dcTc13_EdS, dcTx13, dcTx13_EdS, PL_cc, TL_x 
0.05 -37.725 -38.414 -21.507 -17.686 2315.3 0.5915585744683196
0.054132 -40.91 -41.598 -22.832 -18.739 2150.8 0.5648800571101951
0.058605 -44.805 -45.493 -24.415 -19.999 2016.3 0.5377012262321665
0.063448 -49.126 -49.789 -26.063 -21.3 1892.4 0.5101520415175869
0.068691 -53.256 -53.954 -27.48 -22.397 1758.2 0.48237172884514834
0.074368 -56.488 -57.221 -28.243 -22.975 1597.3 0.45450668961478247
0.080513 -58.098 -58.773 -28.02 -22.748 1405.2 0.42670809189803727
0.087166 -57.937 -58.507 -26.954 -21.746 1198.3 0.3991292037892613
0.09437 -57.05 -57.479 -25.504 -20.443 1007.4 0.3719225461786557
0.10217 -56.955 -57.309 -24.401 -19.425 859.72 0.34523695644531305
0.11061 -59.408 -59.781 -24.156 -19.23 766.94 0.3192146650219678
0.11975 -64.57 -64.878 -24.927 -19.717 711.96 0.2939884923014069
0.12965 -69.885 -70.122 -25.508 -20.048 657.91 0.2696792730933023
0.14036 -71.512 -71.708 -24.564 -19.2 574.99 0.24639360933899024
0.15196 -69.024 -69.143 -22.206 -17.253 473.76 0.22422203906393
0.16452 -67.118 -67.294 -20.1 -15.579 393.79 0.203237691128475
0.17811 -69.908 -70.142 -19.441 -14.992 350.72 0.18349547228091012
0.19283 -74.884 -75.045 -19.239 -14.743 320.31 0.1650318068318768
0.20877 -74.667 -74.771 -17.645 -13.435 272.47 0.14786492179785427
0.22602 -71.93 -72.048 -15.552 -11.786 224.06 0.1319956436110239
0.2447 -73.734 -73.87 -14.521 -10.953 195.98 0.1174086484363901
0.26492 -75.99 -76.067 -13.605 -10.175 172.24 0.10407408851278532
0.28681 -73.968 -73.975 -11.984 -8.8896 142.91 0.09194950306149963
0.31051 -74.645 -74.452 -10.9 -8.0026 122.71 0.08098191495848539
0.33617 -74.934 -74.943 -9.7617 -7.1776 105.33 0.07111001369814574
0.36395 -73.721 -73.673 -8.576 -6.2626 88.305 0.062266330740854414
0.39402 -74.043 -73.929 -7.6645 -5.5568 75.58 0.05437932415912172
0.42658 -72.957 -72.87 -6.7007 -4.8274 63.489 0.04737530422187319
0.46184 -72.502 -72.467 -5.8637 -4.216 53.849 0.04118014862160635
0.5 -71.406 -71.422 -5.0781 -3.6399 45.244 0.03572077386985484
