# k, cx13, cx13_EdS, dcTx13, dcTx13_EdS, PL_cc, TL_x 
0.05 -36.561 -34.792 -50.367 -46.963 2923.6 0.9211368720642467
0.054132 -39.485 -37.888 -53.974 -50.502 2701.7 0.9124261508822792
0.058605 -43.358 -41.584 -58.562 -54.774 2517.1 0.9029146983006477
0.063448 -47.247 -45.615 -63.198 -59.455 2346.7 0.8925551424614794
0.068691 -51.238 -49.464 -67.647 -63.88 2165.7 0.881301576856558
0.074368 -54.074 -52.377 -70.682 -67.102 1953.3 0.8691104059559449
0.080513 -55.206 -53.558 -71.439 -68.197 1704.7 0.8559412824731757
0.087166 -54.472 -52.956 -69.817 -67.129 1441.3 0.841758128551931
0.09437 -53.264 -51.525 -67.635 -65.14 1201.4 0.826530228817
0.10217 -52.281 -50.828 -65.985 -64.2 1016.5 0.8102333784106973
0.11061 -53.796 -52.247 -67.423 -66.067 898.71 0.792851063955489
0.11975 -57.322 -55.74 -71.46 -70.72 826.99 0.7743756500188642
0.12965 -60.829 -59.1 -75.341 -75.397 757.69 0.7548095383392022
0.14036 -60.675 -59.085 -74.858 -75.97 656.46 0.7341662620906863
0.15196 -57.25 -55.524 -70.346 -72.132 536.28 0.7124714731632105
0.16452 -54.083 -52.49 -66.343 -69.068 441.99 0.6897637771943487
0.17811 -54.799 -53.017 -67.077 -70.845 390.4 0.6660953693249665
0.19283 -56.642 -54.797 -69.259 -74.563 353.72 0.6415324237694293
0.20877 -54.339 -52.536 -66.505 -73.011 298.59 0.6161551926769473
0.22602 -50.232 -48.571 -61.505 -69.136 243.73 0.5900577747262254
0.2447 -49.388 -47.575 -60.508 -69.581 211.68 0.563347521645658
0.26492 -48.577 -46.677 -59.684 -70.369 184.79 0.5361440614382196
0.28681 -44.866 -43.1 -55.3 -67.208 152.35 0.5085779303747651
0.31051 -42.691 -41.003 -52.776 -66.366 130.04 0.48078882143963897
0.33617 -40.558 -38.903 -50.374 -65.594 111 0.452923474266373
0.36395 -37.523 -35.907 -46.809 -63.312 92.572 0.42513324984988543
0.39402 -35.306 -33.697 -44.255 -62.377 78.851 0.3975714514153097
0.42658 -32.425 -30.928 -40.869 -60.351 65.94 0.37039046955703725
0.46184 -29.966 -28.538 -38.026 -58.949 55.7 0.34373884385405784
0.5 -27.289 -25.983 -34.828 -57.064 46.623 0.3177583433687081
