# k, dcTc13, dcTc13_EdS, dcTx13, dcTx13_EdS, PL_cc, TL_x 
0.05 -1.8544 -1.8788 -1.636 -1.5161 519.9 0.9211368720642467
0.060023 -2.2289 -2.2707 -1.9475 -1.8238 440.21 0.8998875164031546
0.072055 -2.6661 -2.7009 -2.3095 -2.1549 366.45 0.8740767433130306
0.086498 -2.7612 -2.791 -2.3606 -2.2053 264.59 0.8431778898386981
0.10384 -2.683 -2.7066 -2.2584 -2.1087 179.18 0.806773856721811
0.12465 -3.1198 -3.1438 -2.567 -2.401 145.12 0.7646275763293705
0.14964 -3.1768 -3.1968 -2.5356 -2.3757 102.8 0.7167568807670517
0.17964 -3.1881 -3.1972 -2.4503 -2.2899 71.585 0.6635034874061702
0.21564 -3.2626 -3.2736 -2.3823 -2.2337 51.012 0.6055823784418546
0.25887 -3.3394 -3.3487 -2.2889 -2.147 36.292 0.544096297713824
0.31076 -3.2433 -3.2505 -2.0523 -1.9271 24.502 0.4805019414098881
0.37306 -3.1855 -3.1908 -1.8329 -1.7178 16.719 0.41652076313841935
0.44784 -3.1137 -3.1159 -1.5921 -1.493 11.349 0.35399802713373774
0.53761 -3.0123 -3.0087 -1.3432 -1.2555 7.6137 0.29472687258123154
0.64537 -2.8849 -2.883 -1.0948 -1.0239 5.0672 0.24026591296622435
0.77474 -2.7496 -2.7463 -0.86755 -0.81054 3.3512 0.1917846957345617
0.93004 -2.5994 -2.5969 -0.66648 -0.62181 2.1993 0.14996774782561317
1.1165 -2.4464 -2.4425 -0.49731 -0.46347 1.4347 0.11499470892047015
1.3403 -2.286 -2.2845 -0.36049 -0.33598 0.93074 0.08659508025735363
1.6089 -2.1229 -2.1225 -0.25463 -0.23699 0.59985 0.0641580977011671
1.9315 -1.9637 -1.9627 -0.17583 -0.16337 0.38484 0.04686762443600401
2.3186 -1.8079 -1.8066 -0.11896 -0.11036 0.24577 0.03383176718773839
2.7834 -1.653 -1.6538 -0.078916 -0.07316 0.15607 0.024185482577820494
3.3414 -1.5087 -1.5086 -0.051691 -0.047819 0.098789 0.017156837181971696
4.0112 -1.3708 -1.3708 -0.033411 -0.03087 0.062281 0.012098603896902205
