# k, dcTc13, dcTc13_EdS, dcTx13, dcTx13_EdS, PL_cc, TL_x 
0.05 -36.09 -36.723 -18.269 -14.545 2265.4 0.5153977434590931
0.054132 -39.209 -39.807 -19.308 -15.311 2107.3 0.487650194176418
0.058605 -42.98 -43.586 -20.536 -16.233 1978.3 0.45978971564735804
0.063448 -47.233 -47.786 -21.925 -17.186 1859.2 0.4319667701270484
0.068691 -51.404 -51.853 -23.066 -17.94 1729.6 0.40433444195791246
0.074368 -54.459 -55.052 -23.384 -18.252 1573.2 0.37704561794193836
0.080513 -56.197 -56.62 -23.234 -17.926 1385.7 0.3502500603478511
0.087166 -56.119 -56.445 -22.143 -16.996 1183.1 0.32409147287103046
0.09437 -55.148 -55.5 -20.725 -15.826 995.79 0.2987046663928097
0.10217 -55.018 -55.422 -19.476 -14.897 850.72 0.2742129322688269
0.11061 -57.525 -57.852 -19.246 -14.594 759.68 0.2507257255726225
0.11975 -62.572 -62.864 -19.71 -14.816 705.88 0.22833674914827284
0.12965 -67.824 -68.038 -19.99 -14.916 652.87 0.2071225119204847
0.14036 -69.424 -69.631 -19.014 -14.128 571.06 0.1871414126295612
0.15196 -67.173 -67.184 -17.12 -12.554 470.87 0.16843337443379625
0.16452 -65.25 -65.453 -15.289 -11.213 391.66 0.1510200284420975
0.17811 -68.245 -68.299 -14.721 -10.677 349.05 0.1349054171975581
0.19283 -73.002 -73.11 -14.363 -10.384 318.96 0.12007716442190386
0.20877 -72.731 -72.902 -12.985 -9.3606 271.46 0.10650803674950549
0.22602 -70.188 -70.296 -11.405 -8.1267 223.33 0.09415780813939989
0.2447 -72.011 -72.082 -10.534 -7.4701 195.43 0.08297532903715421
0.26492 -74.209 -74.294 -9.7602 -6.8735 171.81 0.07290070044089703
0.28681 -72.47 -72.292 -8.5775 -5.9468 142.6 0.06386745746898725
0.31051 -72.637 -72.799 -7.6134 -5.3046 122.48 0.05580467694661273
0.33617 -73.362 -73.296 -6.8509 -4.7156 105.16 0.048638937630272494
0.36395 -71.984 -72.055 -5.9254 -4.0783 88.181 0.04229607843419103
0.39402 -72.426 -72.357 -5.2865 -3.5924 75.488 0.03670271781626866
0.42658 -71.251 -71.301 -4.5561 -3.0961 63.423 0.03178751485049247
0.46184 -70.755 -70.938 -3.9622 -2.6868 53.801 0.027482168233291304
0.5 -69.998 -69.919 -3.4445 -2.3043 45.209 0.023722162667951352
