# k, dcTc22, dcTc22_EdS, dcTx22, dcTx22_EdS, PL_cc, TL_x 
0.05 35.758 35.949 35.012 33.623 2923.6 0.9211368720642467
0.054132 40.046 40.243 39.081 37.341 2701.7 0.9124261508822792
0.058605 44.601 44.892 43.352 41.288 2517.1 0.9029146983006477
0.063448 49.614 50.066 48.03 45.604 2346.7 0.8925551424614794
0.068691 54.889 55.479 52.88 49.999 2165.7 0.881301576856558
0.074368 60.671 61.346 58.123 54.655 1953.3 0.8691104059559449
0.080513 66.501 67.304 63.302 59.218 1704.7 0.8559412824731757
0.087166 72.109 73.024 68.119 63.382 1441.3 0.841758128551931
0.09437 77.068 78.11 72.193 66.785 1201.4 0.826530228817
0.10217 81.41 82.551 75.553 69.419 1016.5 0.8102333784106973
0.11061 85.001 86.675 78.029 71.553 898.71 0.792851063955489
0.11975 88.775 90.681 80.491 73.329 826.99 0.7743756500188642
0.12965 93.488 95.15 83.598 75.225 757.69 0.7548095383392022
0.14036 97.649 99.541 85.997 76.785 656.46 0.7341662620906863
0.15196 101 103.09 87.462 77.429 536.28 0.7124714731632105
0.16452 102.78 105.48 87.248 76.945 441.99 0.6897637771943487
0.17811 104.55 107.45 86.879 75.929 390.4 0.6660953693249665
0.19283 106.38 109.81 86.298 74.954 353.72 0.6415324237694293
0.20877 108.43 111.84 85.729 73.547 298.59 0.6161551926769473
0.22602 109.53 112.59 84.067 71.119 243.73 0.5900577747262254
0.2447 109.03 113.13 81.014 68.432 211.68 0.563347521645658
0.26492 109.56 113.8 78.615 65.686 184.79 0.5361440614382196
0.28681 109.63 113.8 75.73 62.467 152.35 0.5085779303747651
0.31051 108.86 113.27 72.111 58.915 130.04 0.48078882143963897
0.33617 108 112.77 68.405 55.379 111 0.452923474266373
0.36395 107.07 111.62 64.582 51.542 92.572 0.42513324984988543
0.39402 105.67 110.47 60.462 47.782 78.851 0.3975714514153097
0.42658 104.02 108.92 56.213 43.938 65.94 0.37039046955703725
0.46184 102.14 107.33 51.969 40.241 55.7 0.34373884385405784
0.5 100.29 105.38 47.829 36.527 46.623 0.3177583433687081
