# k, dd13, dd13_EdS, dT13, dT13_EdS, PL 
0.05 -30.988 -31.236 -43.677 -45.271 2538.1
0.054132 -34.237 -34.354 -47.164 -48.897 2348.5
0.058605 -37.911 -38.188 -51.359 -53.384 2193.3
0.063448 -42.314 -42.432 -56.192 -58.276 2050.4
0.068691 -46.622 -46.716 -60.821 -63.048 1897
0.074368 -50.135 -50.283 -64.177 -66.708 1716.3
0.080513 -52.348 -52.342 -65.884 -68.308 1503.6
0.087166 -52.704 -52.852 -65.199 -67.879 1276.7
0.09437 -52.39 -52.587 -63.708 -66.488 1068.9
0.10217 -52.944 -53.105 -63.44 -66.142 908.35
0.11061 -55.951 -56.047 -65.994 -68.815 807.09
0.11975 -61.489 -61.538 -71.41 -74.508 746.25
0.12965 -67.191 -67.277 -76.954 -80.376 686.97
0.14036 -69.562 -69.503 -78.551 -82.005 598.21
0.15196 -67.73 -67.664 -75.465 -78.894 491.16
0.16452 -66.393 -66.489 -73.192 -76.626 406.92
0.17811 -70.028 -69.94 -76.199 -79.748 361.28
0.19283 -75.419 -75.439 -81.172 -85.141 328.99
0.20877 -75.678 -75.766 -80.53 -84.695 279.09
0.22602 -73.613 -73.55 -77.557 -81.486 228.93
0.2447 -76.025 -75.924 -79.272 -83.399 199.77
0.26492 -78.649 -78.723 -81.32 -85.782 175.2
0.28681 -77.127 -77.013 -79.051 -83.308 145.08
0.31051 -77.926 -77.971 -79.309 -83.754 124.36
0.33617 -78.923 -78.932 -79.682 -84.236 106.57
0.36395 -78.13 -77.972 -78.38 -82.719 89.22
0.39402 -78.655 -78.648 -78.361 -82.966 76.265
0.42658 -77.78 -77.804 -77.054 -81.655 63.992
0.46184 -77.795 -77.721 -76.649 -81.179 54.221
0.5 -76.897 -76.862 -75.366 -79.928 45.515
