# k, cx22, cx22_EdS, cx13, cx13_EdS, dcTx22, dcTx22_EdS, dcTx13, dcTx13_EdS, PL_cc, TL_x 
0.05 39.385 38.772 -35.483 -34.743 34.915 32.902 -47.927 -46.93 2923.6 0.9211368720642467
0.054132 43.533 42.784 -38.478 -37.953 39.001 36.532 -51.79 -50.551 2701.7 0.9124261508822792
0.058605 47.86 46.992 -41.03 -41.579 43.328 40.335 -55.974 -54.775 2517.1 0.9029146983006477
0.063448 52.461 51.385 -46.123 -45.7 47.961 44.343 -61.653 -59.549 2346.7 0.8925551424614794
0.068691 57.368 56.139 -49.942 -49.493 52.966 48.612 -65.765 -63.905 2165.7 0.881301576856558
0.074368 62.382 60.984 -53.129 -52.336 58.144 53.056 -69.058 -67.071 1953.3 0.8691104059559449
0.080513 67.241 65.571 -52.817 -53.499 63.329 57.28 -68.46 -68.138 1704.7 0.8559412824731757
0.087166 71.488 69.534 -55.472 -52.949 68.102 61.065 -70.649 -67.14 1441.3 0.841758128551931
0.09437 74.846 72.672 -54.115 -51.545 72.203 64.132 -67.48 -65.156 1201.4 0.826530228817
0.10217 77.186 74.738 -51.941 -50.852 75.455 66.351 -64.482 -64.233 1016.5 0.8102333784106973
0.11061 78.864 76.245 -54.109 -52.226 78.2 68.048 -66.869 -66.046 898.71 0.792851063955489
0.11975 80.316 77.61 -58.427 -55.81 80.791 69.601 -71.385 -70.812 826.99 0.7743756500188642
0.12965 81.883 78.877 -61.453 -59.103 83.508 71.08 -75.301 -75.42 757.69 0.7548095383392022
0.14036 83.057 79.992 -61.411 -59.043 85.889 72.314 -75.29 -75.923 656.46 0.7341662620906863
0.15196 83.207 79.761 -58.718 -55.547 87.295 72.427 -71.543 -72.162 536.28 0.7124714731632105
0.16452 82.058 78.693 -54.245 -52.498 87.452 71.751 -66.438 -69.075 441.99 0.6897637771943487
0.17811 80.281 76.742 -53.503 -53.051 87.06 70.311 -64.93 -70.889 390.4 0.6660953693249665
0.19283 78.528 74.965 -56.257 -54.764 86.569 68.97 -68.348 -74.519 353.72 0.6415324237694293
0.20877 76.479 73.013 -54.656 -52.547 85.711 67.421 -66.221 -73.025 298.59 0.6161551926769473
0.22602 73.52 69.869 -50.283 -48.543 83.835 64.786 -61.262 -69.096 243.73 0.5900577747262254
0.2447 70.086 66.54 -49.361 -47.56 81.419 61.953 -60.246 -69.562 211.68 0.563347521645658
0.26492 66.7 63.273 -49.026 -46.696 78.903 59.128 -59.945 -70.396 184.79 0.5361440614382196
0.28681 62.915 59.576 -45.076 -43.114 75.822 55.875 -55.389 -67.229 152.35 0.5085779303747651
0.31051 58.799 55.653 -42.66 -41.035 72.223 52.394 -52.518 -66.415 130.04 0.48078882143963897
0.33617 54.767 51.703 -40.806 -38.904 68.582 48.844 -50.513 -65.598 111 0.452923474266373
0.36395 50.571 47.679 -37.67 -35.902 64.571 45.206 -46.927 -63.299 92.572 0.42513324984988543
0.39402 46.505 43.743 -35.208 -33.71 60.577 41.625 -44.149 -62.4 78.851 0.3975714514153097
0.42658 42.43 39.831 -32.433 -30.925 56.358 38.032 -40.83 -60.343 65.94 0.37039046955703725
0.46184 38.499 36.127 -29.881 -28.543 52.157 34.6 -37.876 -58.962 55.7 0.34373884385405784
0.5 34.707 32.495 -27.404 -25.993 47.944 31.221 -34.936 -57.086 46.623 0.3177583433687081
