# k, 1lcc, 1lcc_EdS, 1lcx, 1lcx_EdS, PL_cc, PL_cx 
0.04999999999999999 -0.59452 1.0734 1.4949 2.4992 2998.9 2792.1
0.05240565670773428 -0.13451 1.5396 1.8841 2.8395 2860.1 2649.5
0.05492705709937791 0.31585 1.8883 2.2449 3.0505 2737.8 2522.7
0.05756976996632237 0.18621 2.0625 2.0536 3.0784 2625.5 2405.4
0.06033963203196644 0.60129 2.1418 2.295 2.9888 2520.9 2295.5
0.06324276084276478 1.0038 2.2825 2.5326 2.9311 2417.3 2186.8
0.06628556827950542 1.2949 2.6131 2.6306 2.9914 2310 2075.3
0.06947477471865686 1.8251 3.2859 3.0315 3.3113 2194.2 1956.8
0.07281742387506217 3.0551 4.5182 3.8752 4.0608 2066 1828
0.07632089835876166 4.7745 6.4054 5.0498 5.331 1924.8 1688.9
0.0799929359803029 7.4736 9.0627 7.0768 7.1793 1771.9 1540.9
0.0838416468405504 10.861 12.529 9.6136 9.6489 1612.2 1388.8
0.08787553124273959 14.594 16.277 12.248 12.279 1452.8 1239
0.09210349846633581 18.669 20.115 15.367 14.897 1303.6 1099.9
0.09653488644416246 21.716 23.598 17.297 17.134 1170 976.04
0.10117948238625782 23.978 26.065 18.811 18.419 1062.1 875.4
0.1060475443960095 25.633 27.262 19.417 18.588 976.25 794.48
0.11114982412630971 25.351 26.893 18.315 17.387 915.45 735
0.11649759052576858 23.725 25.655 16.186 15.407 869.32 688.06
0.12210265472743254 22.027 23.758 14.154 12.822 830.38 647.38
0.12797739613497677 20.207 22.224 11.611 10.514 788.24 604.79
0.13413478976398627 20.24 22.301 10.207 9.4509 734.81 554.38
0.1405884348987115 22.207 24.421 10.743 9.9731 668.57 495.51
0.1473525851275905 26.078 28.055 12.805 11.651 595.14 432.91
0.154442179823874 30.057 32.058 14.589 13.53 524.85 374.32
0.16187287714088217 32.556 34.925 14.865 14.463 466.14 325.63
0.16966108859476636 32.621 34.881 14.168 13.081 426.16 291.29
0.1778240153111564 30.635 32.709 11.813 9.9993 398.85 266.46
0.18637968601574698 27.65 29.657 8.7877 6.1917 377.78 246.42
0.1953469968527308 25.422 27.865 4.0959 3.3462 352.81 224.43
0.20474575311902118 26.876 29.007 4.7883 2.7526 319.28 197.84
0.21459671300643882 29.314 31.84 4.7217 3.3973 282.36 170.24
0.2249216334484722 31.542 33.913 4.8822 3.4937 250.46 146.75
0.23574331817286964 30.962 33.314 4.0199 1.6123 227.86 129.59
0.2470856680661917 28.582 30.817 0.17969 -1.7119 211.93 116.85
0.2589737339615605 26.461 28.664 -2.8939 -4.7118 196.3 104.8
0.2714337719661929 26.579 28.928 -4.0139 -5.9418 177.28 91.527
0.2844933014509148 28.303 30.311 -4.692 -6.3277 157.64 78.607
0.2981811658297321 28.417 30.39 -5.8182 -7.5876 141.71 68.171
0.3125275962636985 26.675 28.334 -8.6823 -10.312 130.25 60.368
0.3275642784297753 25.318 26.855 -10.315 -12.663 119.04 53.095
0.34332442250214995 25.51 26.982 -11.165 -13.736 106.91 45.828
0.3598428365005759 25.739 26.969 -12.256 -14.86 95.921 39.471
0.3771560031677308 24.424 25.654 -14.947 -16.817 87.173 34.393
0.3953021605453848 23.449 24.537 -16.905 -18.628 79.094 29.884
0.41432138642734206 23.115 24.171 -17.212 -19.795 71.085 25.691
0.4342556868756762 22.476 23.408 -19.637 -21.133 64.111 22.138
0.4551490889957608 21.48 22.328 -18.532 -22.63 57.978 19.107
0.47704773817499685 20.731 21.616 -21.555 -23.851 52.246 16.414
0.5 20.192 20.953 -22.62 -24.91 46.986 14.058
