# k, Pcc, Pcchi
9.999999999999999124e-06 4.669617859880187183e+01 4.669617859880187183e+01
1.016265089392995130e-05 4.742950609399692752e+01 4.742950609399692752e+01
1.032794731918952453e-05 4.817476122645567926e+01 4.817476122645567926e+01
1.049593230558226521e-05 4.893130538473009494e+01 4.893130538473009494e+01
1.066664958279538781e-05 4.970015311592604945e+01 4.970015311592604945e+01
1.084014359178330984e-05 5.048065178155916044e+01 5.048065178155916044e+01
1.101645949633657016e-05 5.127384186154608159e+01 5.127384186154608159e+01
1.119564319483879533e-05 5.207905476670925538e+01 5.207905476670925538e+01
1.137774133221490236e-05 5.289735917537392140e+01 5.289735917537392140e+01
1.156280131207375472e-05 5.372806884110743653e+01 5.372806884110743653e+01
1.175087130904807549e-05 5.457228270529594027e+01 5.457228270529594027e+01
1.194200028133532407e-05 5.542929642077643848e+01 5.542929642077643848e+01
1.213623798344241651e-05 5.630024003794930110e+01 5.630024003794930110e+01
1.233363497913774693e-05 5.718439064967215302e+01 5.718439064967215302e+01
1.253424265461399484e-05 5.808291028455145266e+01 5.808291028455145266e+01
1.273811323186478452e-05 5.899505700527006979e+01 5.899505700527006979e+01
1.294529978227915899e-05 5.992202571169339365e+01 5.992202571169339365e+01
1.315585624045705155e-05 6.086305495449664704e+01 6.086305495449664704e+01
1.336983741824945150e-05 6.181937342280193093e+01 6.181937342280193093e+01
1.358729901902709093e-05 6.279019965635892220e+01 6.279019965635892220e+01
1.380829765218092365e-05 6.377679708217749521e+01 6.377679708217749521e+01
1.403289084785873161e-05 6.477836371979093144e+01 6.477836371979093144e+01
1.426113707194129759e-05 6.579619870738213194e+01 6.579619870738213194e+01
1.449309574126215066e-05 6.682947902694131415e+01 6.682947902694131415e+01
1.472882723907501804e-05 6.787954052389648041e+01 6.787954052389648041e+01
1.496839293077255598e-05 6.894553861319030830e+01 6.894553861319030830e+01
1.521185517986104894e-05 7.002884687076385717e+01 7.002884687076385717e+01
1.545927736419478539e-05 7.112859860255366584e+01 7.112859860255366584e+01
1.571072389247448757e-05 7.224620616628820358e+01 7.224620616628820358e+01
1.596626022101425084e-05 7.338078020422963732e+01 7.338078020422963732e+01
1.622595287078087002e-05 7.453377293592063779e+01 7.453377293592063779e+01
1.648986944471064877e-05 7.570427177195649904e+01 7.570427177195649904e+01
1.675807864530768815e-05 7.689376990357577313e+01 7.689376990357577313e+01
1.703065029252842823e-05 7.810133092081559880e+01 7.810133092081559880e+01
1.730765534195724041e-05 7.932849013408754502e+01 7.932849013408754502e+01
1.758916590327732596e-05 8.057428670997660447e+01 8.057428670997660447e+01
1.787525525904235186e-05 8.184029925731206845e+01 8.184029925731206845e+01
1.816599788375328615e-05 8.312554190955457045e+01 8.312554190955457045e+01
1.846146946324545750e-05 8.443163777852406326e+01 8.443163777852406326e+01
1.876174691439119540e-05 8.575757534085589384e+01 8.575757534085589384e+01
1.906690840512252017e-05 8.710502344849284384e+01 8.710502344849284384e+01
1.937703337477988640e-05 8.847294428312127934e+01 8.847294428312127934e+01
1.969220255479173340e-05 8.986305370766852718e+01 8.986305370766852718e+01
2.001249798969034841e-05 9.127428695604987752e+01 9.127428695604987752e+01
2.033800305846979900e-05 9.270840820766399304e+01 9.270840820766399304e+01
2.066880249629082024e-05 9.416432508050684191e+01 9.416432508050684191e+01
2.100498241653915194e-05 9.564385141179246830e+01 9.564385141179246830e+01
2.134663033324245187e-05 9.714586650532217504e+01 9.714586650532217504e+01
2.169383518385182289e-05 9.867223524784466804e+01 9.867223524784466804e+01
2.204668735239407619e-05 1.002218079083030204e+02 1.002218079083030204e+02
2.240527869300018224e-05 1.017965018590545156e+02 1.017965018590545156e+02
2.276970255381680078e-05 1.033951376158658206e+02 1.033951376158658206e+02
2.314005380130654141e-05 1.050196864945295374e+02 1.050196864945295374e+02
2.351642884494351072e-05 1.066689385235955854e+02 1.066689385235955854e+02
2.389892566231047497e-05 1.083449204583785814e+02 1.083449204583785814e+02
2.428764382460450277e-05 1.100463910894303865e+02 1.100463910894303865e+02
2.468268452255692542e-05 1.117754341483342841e+02 1.117754341483342841e+02
