# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.1 -9.2594 -9.5159 -18.322 -19.414 -7.4795 -9.4914 -12.013 -19.406 -5.4445 -9.467 3096.9 0.99743 -16.429
0.1049 -9.3483 -9.5877 -18.498 -19.557 -7.5532 -9.5587 -12.095 -19.548 -5.5049 -9.5298 2839 0.99698 -16.56
0.11003 -9.5416 -9.7693 -18.795 -19.919 -7.6907 -9.7347 -12.283 -19.907 -5.5846 -9.7002 2630.2 0.99645 -16.877
0.11542 -9.7816 -10.06 -19.382 -20.51 -7.8769 -10.018 -12.657 -20.496 -5.7151 -9.9765 2465.3 0.99584 -17.39
0.12107 -10.142 -10.407 -20.046 -21.198 -8.1558 -10.356 -13.067 -21.18 -5.9092 -10.306 2317.9 0.99513 -17.984
0.127 -10.401 -10.693 -20.561 -21.765 -8.3455 -10.632 -13.388 -21.743 -6.029 -10.571 2166.3 0.9943 -18.477
0.13322 -10.568 -10.803 -20.763 -21.981 -8.4582 -10.731 -13.497 -21.954 -6.0906 -10.659 1992 0.99333 -18.674
0.13974 -10.315 -10.658 -20.447 -21.665 -8.2466 -10.575 -13.265 -21.633 -5.9338 -10.493 1787.5 0.99221 -18.418
0.14658 -9.9606 -10.274 -19.689 -20.865 -7.9376 -10.181 -12.763 -20.828 -5.687 -10.088 1568 0.99091 -17.75
0.15376 -9.5523 -9.8017 -18.825 -19.884 -7.5876 -9.6979 -12.18 -19.842 -5.4142 -9.5952 1360.9 0.98941 -16.929
0.16129 -9.1463 -9.376 -17.944 -19.003 -7.2406 -9.2603 -11.599 -18.954 -5.1451 -9.1461 1184.8 0.98767 -16.189
0.16919 -8.969 -9.2117 -17.657 -18.653 -7.0787 -9.0796 -11.378 -18.596 -5.0146 -8.9494 1059.8 0.98566 -15.902
0.17747 -9.0939 -9.2804 -17.77 -18.761 -7.1455 -9.1259 -11.452 -18.692 -5.0336 -8.9739 971.5 0.98335 -16.004
0.18616 -9.2366 -9.48 -18.1 -19.137 -7.2275 -9.2969 -11.619 -19.053 -5.0681 -9.1174 903.84 0.98069 -16.335
0.19528 -9.3486 -9.5815 -18.273 -19.308 -7.2699 -9.3673 -11.691 -19.206 -5.0559 -9.1579 831.71 0.97764 -16.486
0.20484 -9.1436 -9.4041 -17.902 -18.916 -7.0652 -9.161 -11.422 -18.797 -4.8739 -8.9242 743.41 0.97415 -16.158
0.21487 -8.8239 -9.0169 -17.179 -18.097 -6.7804 -8.7479 -10.916 -17.961 -4.6517 -8.4868 649.2 0.97016 -15.462
0.22539 -8.4691 -8.6611 -16.476 -17.345 -6.4574 -8.3633 -10.421 -17.189 -4.3883 -8.0757 568.24 0.96561 -14.82
0.23642 -8.3033 -8.5061 -16.105 -16.992 -6.273 -8.1696 -10.168 -16.811 -4.2131 -7.8465 508.61 0.96044 -14.518
0.248 -8.3372 -8.5273 -16.098 -16.986 -6.2438 -8.14 -10.108 -16.771 -4.1526 -7.7703 464.71 0.95458 -14.507
0.26014 -8.3483 -8.4966 -15.986 -16.864 -6.1822 -8.0543 -9.9964 -16.611 -4.0551 -7.635 421.82 0.94794 -14.393
0.27288 -8.052 -8.2399 -15.484 -16.298 -5.8935 -7.7493 -9.6169 -16.007 -3.8126 -7.2878 373.17 0.94046 -13.895
0.28624 -7.7375 -7.8954 -14.801 -15.549 -5.5893 -7.3588 -9.1351 -15.221 -3.56 -6.8587 325.88 0.93204 -13.236
0.30026 -7.5511 -7.67 -14.322 -15.041 -5.3768 -7.0764 -8.7874 -14.666 -3.3677 -6.5287 288.83 0.9226 -12.78
0.31496 -7.4402 -7.5873 -14.14 -14.801 -5.2114 -6.9201 -8.5899 -14.366 -3.2007 -6.3116 260.59 0.91206 -12.543
0.33038 -7.3022 -7.4226 -13.718 -14.406 -5.0199 -6.6828 -8.2795 -13.909 -3.0136 -6.0167 232.89 0.90033 -12.169
0.34656 -7.0511 -7.1545 -13.192 -13.789 -4.7494 -6.3483 -7.8845 -13.231 -2.7825 -5.6329 204.68 0.88732 -11.6
0.36353 -6.794 -6.9053 -12.646 -13.218 -4.479 -6.028 -7.4701 -12.592 -2.5599 -5.2621 180.39 0.87294 -11.064
0.38133 -6.6615 -6.7656 -12.311 -12.84 -4.2816 -5.799 -7.1863 -12.13 -2.3726 -4.9705 161.14 0.85713 -10.681
0.4 -6.4642 -6.5743 -11.852 -12.364 -4.0394 -5.5212 -6.8324 -11.568 -2.1622 -4.6368 142.87 0.83982 -10.208
