# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -138.38 -140 -199.36 -202.17 -124.29 -126.26 -168.75 -199.52 -110.37 -113.87 5505.6 0.90189 -183.95
0.052151 -145.8 -147.25 -207.75 -210.54 -129.34 -132.02 -175.55 -207.47 -113.54 -118.37 5282.6 0.89659 -190.93
0.054394 -154.06 -155.4 -217.31 -219.88 -135.05 -138.46 -183.23 -216.29 -117.21 -123.38 5084.8 0.89104 -198.65
0.056734 -162.97 -164.21 -227.56 -230.1 -141.24 -145.36 -191.36 -225.92 -121.25 -128.68 4902.1 0.88523 -207.03
0.059175 -172.6 -173.61 -238.39 -240.83 -147.8 -152.63 -200.11 -235.96 -125.42 -134.18 4729.3 0.87915 -215.7
0.06172 -181.74 -183.55 -248.96 -252.1 -153.87 -160.2 -208.35 -246.44 -129.15 -139.82 4561 0.87277 -224.67
0.064375 -192.61 -193.72 -260.86 -263.42 -161.09 -167.78 -217.75 -256.86 -133.61 -145.32 4389.4 0.86612 -233.49
0.067144 -202.24 -203.58 -271.57 -274.14 -167.17 -174.92 -225.81 -266.59 -137.07 -150.29 4208.1 0.85919 -241.57
0.070033 -211.4 -212.66 -281.06 -283.62 -172.64 -181.18 -233.02 -274.98 -139.9 -154.35 4011.5 0.85195 -248.32
0.073045 -219.55 -220.69 -288.67 -291.47 -177.05 -186.35 -238.6 -281.67 -141.69 -157.35 3795.9 0.84438 -253.42
0.076187 -226.21 -227.16 -294.65 -297.05 -180.17 -190.01 -242.58 -286.02 -142.44 -158.94 3561.9 0.83647 -256.32
0.079465 -230.36 -231.45 -297.22 -299.85 -181.12 -191.69 -243.81 -287.58 -141.37 -158.76 3311.9 0.82821 -256.65
0.082883 -232.95 -233.99 -297.96 -300.3 -180.81 -191.78 -243.18 -286.77 -139.35 -157.19 3052.8 0.81963 -254.8
0.086448 -233.47 -234.68 -295.96 -298.4 -178.77 -190.26 -240.54 -283.64 -135.93 -154.24 2793.6 0.8107 -250.83
0.090167 -233.83 -234.26 -293.44 -295.15 -176.6 -187.76 -237.44 -279.18 -132.48 -150.49 2543.7 0.8015 -245.67
0.094046 -233.39 -233.85 -290.29 -292.04 -173.78 -185.22 -233.64 -274.79 -128.52 -146.7 2318.1 0.79204 -240.56
0.098091 -234.26 -234.78 -288.72 -290.57 -171.94 -183.67 -231.13 -271.89 -125.36 -143.69 2121.9 0.7823 -236.71
0.10231 -237.13 -237.52 -289.74 -291.37 -171.44 -183.44 -230.62 -271.03 -123.12 -141.66 1958.3 0.77229 -234.62
