# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.05 108.62 109.04 90.179 90.102 70.528 72.764 71.838 77.667 46.077 48.554 4820.8 0.66728
0.054473 122.84 123.28 102.58 102.41 76.16 78.985 78.95 86.227 47.513 50.606 4455 0.6407
0.059347 139.03 139.15 116.32 115.98 81.665 85.337 86.159 95.135 48.286 52.337 4146.8 0.61329
0.064656 156.55 156.5 131.15 130.9 87.612 91.53 94.746 104.25 49.376 53.53 3849.9 0.58484
0.070441 174.17 175.24 146.88 147.09 91.627 97.396 100.07 113.37 48.489 54.13 3513 0.55577
0.076742 194.28 195.3 164.34 164.3 96.353 102.78 106.94 122.17 48.056 54.093 3108.7 0.52629
0.083608 214.14 215.26 181.82 181.71 99.525 106.85 112.06 129.84 46.504 53.037 2652.9 0.49637
0.091088 232.03 233.39 198.25 197.82 100.37 108.84 114.04 135.32 43.666 50.754 2208.1 0.46633
0.099237 249.05 249.3 212.95 212.4 99.514 108.76 114.62 138.5 40.01 47.45 1848.5 0.43627
0.10812 264 264.44 226.68 226.15 96.41 107.5 112.52 140 35.411 43.7 1616.3 0.40652
0.11779 278.15 279.28 239.83 239.88 93.249 105.33 110.25 140.36 31.47 39.727 1476.8 0.37715
0.12833 294.9 295.75 255.16 254.66 89.448 103.03 106.93 140.18 27.309 35.889 1347.3 0.34835
0.13981 311.17 311.89 269.36 269.42 85.136 99.903 102.27 138.85 23.463 32.001 1156.1 0.32032
0.15231 323.8 325.03 281.4 281.63 79.62 95.329 97.101 135.25 19.74 27.959 936.04 0.29329
0.16594 333.45 333.65 290.69 290.37 73.084 89.201 90.777 129.3 16.165 23.848 777.09 0.26735
0.18079 342.44 342.6 299.3 299.34 66.199 83.111 83.533 122.98 12.946 20.162 695.42 0.24259
0.19696 350.88 352.35 308.01 308.75 59.664 77.205 76.567 116.42 10.277 16.917 613.36 0.21912
0.21458 357.21 359.44 314.76 316.02 53.319 70.833 69.349 108.82 8.0773 13.959 499.3 0.19707
0.23378 362.19 362.6 319.89 319.99 47.214 63.997 61.598 100.13 6.2534 11.295 416.85 0.17649
0.25469 366.78 366.21 324.9 324.36 41.709 57.645 54.861 91.776 4.8238 9.0739 366.02 0.15741
0.27748 368.49 369.06 327.95 327.87 36.283 51.59 47.953 83.462 3.6403 7.2115 302.76 0.13979
0.30231 367.21 368.12 327.86 328.21 31.362 45.502 40.963 74.789 2.7325 5.6244 253.31 0.12361
0.32935 367.36 367.79 329.1 328.93 27.483 40.061 36.362 66.795 2.0873 4.3636 215.57 0.10893
0.35882 364.93 365.16 327.52 327.62 23.587 34.923 31.63 59.026 1.5462 3.34 178.19 0.095638
0.39092 361.79 361.82 326.27 325.7 20.1 30.278 27.189 51.839 1.1317 2.5337 150.18 0.083682
0.42589 357.23 357.88 323.29 323.16 17.058 26.099 23.641 45.22 0.82534 1.9033 124.4 0.072926
0.46399 352.94 352.07 319.77 318.91 14.245 22.315 19.59 39.099 0.58683 1.4144 103.93 0.063384
0.5055 344.88 345.74 313.91 314.13 12.019 18.99 16.855 33.612 0.42385 1.043 86.235 0.054925
0.55073 339.47 339.29 309.3 309.16 10.047 16.116 14.393 28.792 0.30108 0.76552 71.431 0.0475
0.6 331.77 331.76 303.35 303.16 8.3802 13.586 12.161 24.482 0.21367 0.55638 59.179 0.040952
