# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -260.79 -262.28 -414.76 -415.88 -266.64 -262.28 -414.15 -415.88 -271.03 -262.28 7810.5 1 -406
0.052151 -276.8 -278.19 -435.86 -436.98 -282.67 -278.19 -435.06 -436.98 -287.08 -278.19 7565.9 1 -427.86
0.054394 -294.39 -295.61 -459.07 -460.09 -300.14 -295.61 -458.17 -460.09 -304.45 -295.61 7343.6 1 -451.8
0.056734 -313.17 -314.47 -483.82 -484.95 -318.63 -314.47 -482.82 -484.95 -322.7 -314.47 7136.4 1 -477.58
0.059175 -333.54 -334.99 -510.61 -511.68 -338.87 -334.99 -509.56 -511.68 -342.83 -334.99 6940.2 1 -505.31
0.06172 -355.61 -356.89 -539.2 -539.99 -360.74 -356.89 -538.03 -539.99 -364.51 -356.89 6751.5 1 -534.76
0.064375 -378.57 -380.04 -567.93 -569.54 -383.69 -380.04 -566.58 -569.54 -387.45 -380.04 6562.5 1 -565.54
0.067144 -402.85 -403.75 -598.8 -599.4 -407.65 -403.75 -597.38 -599.4 -411.15 -403.75 6366.2 1 -596.78
0.070033 -426.57 -427.74 -628.16 -628.89 -431.22 -427.74 -626.6 -628.89 -434.58 -427.74 6155.6 1 -627.75
0.073045 -450.13 -451.05 -656.07 -656.83 -454.5 -451.05 -654.4 -656.83 -457.62 -451.05 5924.1 1 -657.28
0.076187 -471.46 -472.96 -680.69 -682.13 -475.64 -472.96 -678.95 -682.13 -478.59 -472.96 5669.2 1 -684.22
0.079465 -491.78 -492.81 -703.12 -703.92 -495.74 -492.81 -701.25 -703.92 -498.52 -492.81 5390 1 -707.71
0.082883 -508.82 -509.93 -720.25 -721.4 -512.55 -509.93 -718.27 -721.4 -515.15 -509.93 5088.2 1 -726.89
0.086448 -523.12 -524.14 -733.39 -734.4 -526.63 -524.14 -731.33 -734.4 -529.02 -524.14 4772.3 1 -741.58
0.090167 -534.5 -535.87 -742.39 -743.7 -537.83 -535.87 -740.25 -743.7 -540.08 -535.87 4451.1 1 -752.46
0.094046 -545.08 -546.35 -749.83 -751.08 -548.11 -546.35 -747.61 -751.08 -550.16 -546.35 4139.9 1 -761.4
0.098091 -555.98 -556.97 -757.21 -758.45 -558.8 -556.97 -754.94 -758.45 -560.68 -556.97 3849.5 1 -770.24
0.10231 -568.17 -569.1 -766.77 -767.8 -570.75 -569.1 -764.4 -767.8 -572.4 -569.1 3588.4 1 -781.07
0.10671 -584.57 -585.45 -781.17 -782.55 -586.97 -585.45 -778.72 -782.55 -588.44 -585.45 3367.4 1 -797.35
0.1113 -606.86 -607.64 -803.7 -804.71 -609.08 -607.64 -801.19 -804.71 -610.43 -607.64 3187.6 1 -821.16
0.11609 -634.66 -635.33 -832.91 -833.78 -636.73 -635.33 -830.25 -833.78 -637.93 -635.33 3040.3 1 -852.02
0.12108 -667.86 -668.18 -868.28 -869.08 -669.85 -668.18 -865.5 -869.08 -670.97 -668.18 2916.9 1 -889.23
0.12629 -703.09 -703.89 -906.45 -907.42 -704.98 -703.89 -903.51 -907.42 -706 -703.89 2803 1 -929.6
0.13172 -737.14 -738.03 -942.09 -943.21 -738.99 -738.03 -939.02 -943.21 -740.01 -738.03 2681 1 -967.33
0.13739 -765.52 -766.42 -969.84 -971.08 -767.28 -766.42 -966.65 -971.08 -768.2 -766.42 2539.9 1 -996.91
0.1433 -784.17 -784.67 -985.24 -985.86 -785.88 -784.67 -982.1 -985.86 -786.86 -784.67 2372.5 1 -1013
0.14947 -792.69 -793.26 -987.51 -988.41 -794.27 -793.26 -984.3 -988.41 -795.13 -793.26 2188.1 1 -1016.5
0.1559 -793.92 -794.82 -981.23 -982.35 -795.43 -794.82 -978.04 -982.35 -796.26 -794.82 2000.6 1 -1011
0.1626 -796.58 -796.74 -976.4 -976.85 -797.92 -796.74 -973.27 -976.85 -798.61 -796.74 1829.8 1 -1005.9
0.1696 -805.07 -805.75 -979.14 -980.24 -806.25 -805.75 -975.94 -980.24 -806.74 -805.75 1688.7 1 -1010
0.17689 -824.88 -825.33 -995.54 -996.42 -825.9 -825.33 -992.35 -996.42 -826.24 -825.33 1578.6 1 -1027.1
0.1845 -855.16 -855.63 -1024.4 -1025.3 -856 -855.63 -1021.1 -1025.3 -856.15 -855.63 1493.6 1 -1057.3
