# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -167.61 -168.78 -244.06 -247.78 -161.17 -166.92 -228.88 -247.33 -153.67 -165.09 6582.7 0.989 -247.13
0.052151 -174.61 -175.84 -251.49 -255.35 -167.53 -173.58 -235.72 -254.74 -159.4 -171.35 6251.6 0.98715 -254.86
0.054394 -182.11 -183.36 -259.54 -263.44 -174.33 -180.64 -243.12 -262.66 -165.49 -177.96 5943.1 0.98518 -263.05
0.056734 -189.99 -191.28 -267.84 -271.87 -181.38 -188.01 -250.72 -270.87 -171.74 -184.8 5651.1 0.98293 -271.48
0.059175 -198.21 -199.58 -276.41 -280.63 -188.72 -195.68 -258.59 -279.4 -178.21 -191.86 5373.7 0.98049 -280.14
0.06172 -206.82 -208.25 -285.41 -289.72 -196.28 -203.63 -266.8 -288.23 -184.77 -199.11 5110.8 0.9778 -289.04
0.064375 -215.76 -217.16 -294.56 -298.93 -204.02 -211.7 -275.12 -297.16 -191.38 -206.37 4857.1 0.97485 -297.93
0.067144 -224.56 -226.06 -303.38 -307.91 -211.52 -219.64 -283.11 -305.82 -197.65 -213.4 4607.1 0.9716 -306.43
0.070033 -233.08 -234.63 -311.63 -316.24 -218.58 -227.12 -290.5 -313.78 -203.38 -219.85 4357.3 0.96798 -314.12
0.073045 -240.85 -242.46 -318.72 -323.43 -224.76 -233.71 -296.74 -320.55 -208.12 -225.27 4103.5 0.96392 -320.47
0.076187 -247.53 -249.06 -324.17 -328.85 -229.7 -238.93 -301.38 -325.47 -211.53 -229.22 3841.7 0.95933 -324.8
0.079465 -252.54 -254.04 -327.39 -332.04 -232.89 -242.39 -303.87 -328.07 -213.15 -231.27 3570.8 0.95413 -326.66
0.082883 -255.59 -257.07 -328.01 -332.65 -234.04 -243.77 -303.83 -328 -212.73 -231.15 3293 0.94826 -325.71
0.086448 -256.61 -258.04 -326.06 -330.59 -233.13 -242.99 -301.32 -325.18 -210.28 -228.81 3012.2 0.94167 -321.89
0.090167 -255.74 -257.07 -321.8 -326.16 -230.34 -240.19 -296.58 -319.92 -206.01 -224.42 2735.3 0.93435 -315.5
0.094046 -254 -255.25 -316.55 -320.74 -226.6 -236.45 -290.83 -313.61 -200.76 -219.04 2475.5 0.92635 -307.96
0.098091 -252.15 -253.31 -311.31 -315.29 -222.61 -232.44 -285.04 -307.19 -195.21 -213.29 2239.6 0.91761 -300.23
0.10231 -251.16 -252.25 -307.22 -311.04 -219.19 -229.03 -280.17 -301.81 -190.03 -207.94 2033.1 0.90795 -293.39
0.10671 -252.46 -253.49 -305.99 -309.72 -217.53 -227.47 -277.78 -299.11 -186.25 -204.11 1862.9 0.89734 -289.03
0.1113 -256.72 -257.75 -308.42 -312.07 -218.11 -228.27 -278.51 -299.73 -184.18 -202.17 1727.1 0.88564 -287.73
0.11609 -263.61 -264.6 -313.92 -317.52 -220.56 -230.98 -281.83 -303.07 -183.45 -201.63 1617 0.87295 -288.85
0.12108 -272.75 -273.66 -322.01 -325.53 -224.38 -235.1 -287.14 -308.5 -183.55 -201.98 1525.4 0.8591 -291.74
0.12629 -282.77 -283.62 -330.99 -334.49 -228.37 -239.42 -292.93 -314.46 -183.45 -202.12 1442.3 0.84418 -294.86
0.13172 -291.37 -292.19 -338.27 -341.71 -230.63 -241.93 -296.78 -318.29 -181.63 -200.31 1355.8 0.82799 -295.75
0.13739 -296.64 -297.32 -341.56 -344.83 -229.69 -241.01 -296.78 -317.88 -176.99 -195.37 1259 0.81061 -292.5
