# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.02 15.577 15.551 11.614 11.604 15.553 15.551 11.612 11.604 15.534 15.551 13397 1
0.03 51.497 51.489 40.192 40.15 51.371 51.43 40.18 40.177 51.263 51.37 11292 0.99884
0.04 102.98 103.07 83.018 83.064 102.49 102.6 82.971 83.068 102.03 102.13 8597.7 0.99541
0.05 159.14 159.1 131.28 131.2 157.72 157.35 131.09 130.96 156.37 155.62 6582.7 0.989
0.052151 170.94 170.91 141.59 141.5 169.22 168.72 141.35 141.16 167.58 166.55 6251.6 0.98715
0.054394 183.12 183.08 152.24 152.17 181.02 180.37 151.92 151.71 179.04 177.69 5943.1 0.98518
0.056734 195.62 195.66 163.23 163.16 193.11 192.32 162.83 162.56 190.72 189.04 5651.1 0.98293
0.059175 208.35 208.41 174.41 174.36 205.34 204.35 173.91 173.59 202.46 200.36 5373.7 0.98049
0.06172 221.34 221.42 185.91 185.84 217.74 216.51 185.26 184.88 214.3 211.7 5110.8 0.9778
0.064375 234.58 234.65 197.63 197.52 230.3 228.75 196.81 196.35 226.2 223 4857.1 0.97485
0.067144 247.95 248.13 209.55 209.45 242.88 241.08 208.53 208.03 238.03 234.23 4607.1 0.9716
0.070033 261.54 261.69 221.61 221.52 255.57 253.31 220.35 219.8 249.86 245.2 4357.3 0.96798
0.073045 275.26 275.35 233.9 233.7 268.33 265.42 232.35 231.62 261.71 255.84 4103.5 0.96392
0.076187 288.9 289.04 246.16 245.96 280.83 277.29 244.17 243.44 273.16 266.01 3841.7 0.95933
0.079465 302.18 302.48 258.21 258.01 292.74 288.6 255.69 254.93 283.76 275.37 3570.8 0.95413
0.082883 315.32 315.49 270.18 269.87 304.2 299.16 267.19 266.1 293.64 283.68 3293 0.94826
0.086448 327.74 328.14 281.55 281.4 314.55 308.99 277.93 276.8 302.01 290.97 3012.2 0.94167
