# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.05 186.36 186.69 152.66 152.87 186.41 186.69 152.67 152.87 186.43 186.69 7810.5 1
0.052151 203.35 203.4 167.03 167.14 203.39 203.4 167.05 167.14 203.42 203.4 7565.9 1
0.054394 221.16 221.25 182.34 182.41 221.21 221.25 182.36 182.41 221.24 221.25 7343.6 1
0.056734 240.1 240.26 198.68 198.68 240.15 240.26 198.72 198.68 240.19 240.26 7136.4 1
0.059175 260.47 260.65 216.03 216.08 260.5 260.65 216.08 216.08 260.57 260.65 6940.2 1
0.06172 282.37 282.46 234.76 234.82 282.43 282.46 234.8 234.82 282.48 282.46 6751.5 1
0.064375 305.66 305.53 254.82 254.63 305.75 305.53 254.83 254.63 305.77 305.53 6562.5 1
0.067144 330.17 330.07 275.82 275.84 330.24 330.07 275.86 275.84 330.29 330.07 6366.2 1
0.070033 356.11 356.22 298.35 298.45 356.17 356.22 298.4 298.45 356.25 356.22 6155.6 1
0.073045 383.49 383.82 322.24 322.38 383.57 383.82 322.28 322.38 383.64 383.82 5924.1 1
0.076187 412.69 413.06 347.56 347.72 412.8 413.06 347.6 347.72 412.85 413.06 5669.2 1
0.079465 443.28 443.76 374.22 374.54 443.37 443.76 374.27 374.54 443.45 443.76 5390 1
0.082883 475.51 475.33 402.35 402.29 475.61 475.33 402.4 402.29 475.7 475.33 5088.2 1
0.086448 508.37 508.16 431.33 431.18 508.43 508.16 431.42 431.18 508.56 508.16 4772.3 1
0.090167 541.24 541.55 460.65 460.81 541.37 541.55 460.7 460.81 541.44 541.55 4451.1 1
0.094046 575.48 575.05 491.13 490.77 575.59 575.05 491.19 490.77 575.7 575.05 4139.9 1
0.098091 608.55 608.71 521.26 521.17 608.66 608.71 521.33 521.17 608.79 608.71 3849.5 1
0.10231 641.89 642.29 551.49 551.5 642.11 642.29 551.48 551.5 642.15 642.29 3588.4 1
0.10671 675.82 675.98 582.29 582.3 675.94 675.98 582.37 582.3 676.1 675.98 3367.4 1
0.1113 710.43 709.72 613.52 613.03 710.58 709.72 613.61 613.03 710.73 709.72 3187.6 1
0.11609 742.86 743.76 643.68 644.15 743.02 743.76 643.74 644.15 743.17 743.76 3040.3 1
0.12108 778.52 777.92 675.9 675.57 778.67 777.92 675.99 675.57 778.85 777.92 2916.9 1
0.12629 812.85 813.24 707.3 707.78 812.99 813.24 707.4 707.78 813.2 813.24 2803 1
0.13172 849.07 849.43 740.93 740.99 849.26 849.43 741.03 740.99 849.45 849.43 2681 1
0.13739 886.07 886.58 774.91 775.06 886.3 886.58 775.01 775.06 886.47 886.58 2539.9 1
0.1433 923.07 924.13 808.87 809.64 923.24 924.13 808.97 809.64 923.51 924.13 2372.5 1
0.14947 959.7 960.44 842.89 843.49 959.93 960.44 843.01 843.49 960.19 960.44 2188.1 1
0.1559 996.47 995.56 877.12 876.65 996.67 995.56 877.36 876.65 997.03 995.56 2000.6 1
0.1626 1028.4 1029.8 908.11 908.87 1028.7 1029.8 908.1 908.87 1029 1029.8 1829.8 1
0.1696 1060.7 1060.6 938.88 938.52 1061 1060.6 939.09 938.52 1061.5 1060.6 1688.7 1
0.17689 1090.5 1090.5 967.41 967.34 1090.8 1090.5 967.57 967.34 1091.3 1090.5 1578.6 1
0.1845 1118.2 1119.2 994.57 994.97 1118.6 1119.2 994.75 994.97 1119.1 1119.2 1493.6 1
0.19244 1148.1 1147.1 1022.7 1022.1 1148.6 1147.1 1022.9 1022.1 1149 1147.1 1417.9 1
0.20072 1174 1174.7 1048.3 1049.1 1174.4 1174.7 1048.5 1049.1 1174.8 1174.7 1333.6 1
0.20935 1201.3 1201.5 1074.8 1075.1 1201.6 1201.5 1075 1075.1 1202 1201.5 1233.2 1
0.21835 1226.1 1226.6 1099.3 1099.8 1226.2 1226.6 1099.5 1099.8 1226.7 1226.6 1123 1
0.22775 1247.2 1247.7 1121.2 1121.2 1247.4 1247.7 1121.4 1121.2 1247.7 1247.7 1019 1
0.23754 1265.1 1265.5 1139.7 1139.9 1265.3 1265.5 1139.9 1139.9 1265.4 1265.5 931.46 1
0.24776 1280.6 1280.9 1155.7 1155.8 1280.6 1280.6 1155.9 1156.7 1280.6 1280.4 864.85 0.9998
0.25842 1292.7 1293 1169 1169.4 1292.6 1292.4 1169.2 1170.1 1292.4 1291.8 806.93 0.99952
0.26954 1302.8 1304.5 1180.5 1181.9 1302.6 1303.5 1180.7 1182.5 1302.2 1302.6 745.93 0.99924
0.28113 1312.3 1312.6 1191.5 1191.6 1311.8 1311.3 1191.7 1192.1 1311.1 1310 678.17 0.999
0.29322 1316.4 1316.7 1197.7 1197.6 1315.6 1315 1197.8 1198.1 1314.7 1313.4 611.22 0.99872
