# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.02 15.562 15.561 11.608 11.608 15.539 15.561 11.607 11.608 15.521 15.561 13397 1
0.03 51.468 51.476 40.139 40.142 51.342 51.416 40.128 40.168 51.237 51.356 11292 0.99884
0.04 103.16 103.11 83.165 83.098 102.68 102.63 83.125 83.101 102.26 102.16 8597.7 0.99541
0.05 159.14 159.1 131.27 131.21 157.74 157.35 131.11 130.97 156.45 155.62 6582.7 0.989
0.052151 171.05 170.93 141.63 141.51 169.35 168.73 141.44 141.17 167.78 166.56 6251.6 0.98715
0.054394 183.09 183.09 152.25 152.15 181.05 180.37 151.99 151.7 179.14 177.7 5943.1 0.98518
0.056734 195.64 195.53 163.22 163.1 193.18 192.19 162.89 162.5 190.88 188.91 5651.1 0.98293
0.059175 208.39 208.34 174.47 174.33 205.44 204.28 174.05 173.57 202.68 200.29 5373.7 0.98049
0.06172 221.43 221.42 185.97 185.86 217.92 216.5 185.43 184.9 214.63 211.7 5110.8 0.9778
0.064375 234.69 234.62 197.77 197.54 230.54 228.72 197.09 196.37 226.63 222.97 4857.1 0.97485
0.067144 248 248 209.56 209.41 243.1 240.96 208.73 207.99 238.49 234.11 4607.1 0.9716
0.070033 261.68 261.71 221.75 221.54 255.89 253.33 220.71 219.82 250.45 245.22 4357.3 0.96798
0.073045 275.29 275.32 233.94 233.71 268.55 265.39 232.67 231.63 262.22 255.81 4103.5 0.96392
0.076187 289.14 288.87 246.37 245.85 281.39 277.12 244.81 243.33 274.15 265.85 3841.7 0.95933
0.079465 302.42 302.38 258.37 257.97 293.35 288.51 256.33 254.88 284.89 275.28 3570.8 0.95413
0.082883 315.56 315.55 270.33 269.91 304.88 299.22 267.81 266.14 294.91 283.73 3293 0.94826
0.086448 327.92 328.06 281.76 281.35 315.31 308.92 278.7 276.74 303.55 290.9 3012.2 0.94167
0.090167 339.71 339.82 292.72 292.25 324.87 317.52 289.09 286.65 311.03 296.67 2735.3 0.93435
0.094046 350.35 350.75 302.76 302.44 333.1 324.91 298.35 295.72 317.05 300.98 2475.5 0.92635
0.098091 359.98 360.35 312.03 311.6 340.12 330.66 306.72 303.59 321.75 303.41 2239.6 0.91761
0.10231 368.2 368.71 320.15 319.66 345.44 334.77 313.75 310.17 324.53 303.95 2033.1 0.90795
0.10671 375.35 375.91 327.3 326.79 349.31 337.32 319.57 315.6 325.57 302.69 1862.9 0.89734
0.1113 381.32 382.04 333.38 332.97 351.7 338.35 324.28 319.79 324.94 299.65 1727.1 0.88564
0.11609 386.6 387.6 338.83 338.5 353.01 338.36 328.11 323.09 322.96 295.37 1617 0.87295
0.12108 391.5 392.23 343.83 343.23 353.31 336.97 331.1 325.27 319.55 289.49 1525.4 0.8591
0.12629 396.01 397.04 348.42 347.94 352.8 335.17 333.45 327.1 315.09 282.95 1442.3 0.84418
0.13172 400.59 401.55 352.95 352.39 351.78 332.48 335.37 328.24 309.77 275.29 1355.8 0.82799
0.13739 405.01 406.29 357.33 356.92 350.05 329.34 336.73 329.02 303.48 266.97 1259 0.81061
0.1433 408.92 410.48 361.27 360.94 347.38 325.09 337.24 328.84 296.15 257.46 1149.2 0.79198
0.14947 412.06 413.85 364.58 364.27 343.3 319.53 336.5 327.52 287.17 246.72 1032.9 0.77211
0.1559 413.85 415.98 366.69 366.61 337.37 312.38 334.11 324.74 276.29 234.58 918.93 0.75094
0.1626 414.44 416.25 367.76 367.35 329.75 303.3 330.23 320.03 263.76 221 819.29 0.72864
0.1696 413.39 415.52 367.42 367.18 320.51 292.99 325.01 313.98 250.04 206.58 740.18 0.7051
0.17689 411.59 413.98 366.21 366.17 310.11 281.67 318.79 306.66 235.33 191.65 680.53 0.6804
0.1845 409.32 411.81 364.61 364.66 298.68 269.61 311.16 298.43 219.75 176.51 635.94 0.65469
0.19244 407.25 409.85 363.01 363.12 286.77 257.39 302.45 289.66 203.83 161.64 596.9 0.62801
0.20072 405.45 408.02 361.59 361.67 274.64 245.01 293.7 280.47 188.01 147.12 553.81 0.60047
0.20935 403.39 406.11 359.93 360.13 261.96 232.37 284.23 270.69 172.15 132.96 503.32 0.57218
0.21835 401.02 403.7 358 358.16 248.77 219.34 273.79 260.14 156.38 119.17 449.66 0.54332
0.22775 397.52 400.2 355.05 355.32 234.55 205.73 261.72 248.58 140.46 105.76 400.91 0.51406
0.23754 393.16 395.99 351.34 351.79 219.72 191.86 249.2 236.23 124.84 92.954 361.88 0.4845
0.24776 388.37 391.31 347.28 347.86 204.67 178.01 235.68 223.39 109.86 80.975 333.93 0.4549
0.25842 383.83 386.73 343.33 343.98 190.05 164.48 222.14 210.42 96.028 69.959 310.38 0.42532
0.26954 379.62 382.32 339.66 340.2 175.59 151.45 208.48 197.5 83.044 59.999 285.51 0.39615
0.28113 375.51 378.4 336.01 336.84 161.52 138.99 194.71 184.75 71.173 51.05 257.9 0.3673
0.29322 370.96 373.85 332.08 332.96 147.66 126.84 180.79 171.87 60.323 43.033 231.43 0.33928
0.30584 365.94 368.68 327.72 328.63 134.12 115 166.74 158.87 50.546 35.869 209.75 0.31191
0.31899 360.86 363.31 323.28 324.13 121.14 103.77 152.93 146.15 41.9 29.64 192.78 0.28563
0.33272 356 358.5 319.1 320.02 108.89 93.291 139.52 133.88 34.373 24.277 177.33 0.26023
0.34703 351.33 354.04 315.05 316.24 97.388 83.668 126.69 122.28 27.906 19.773 161.1 0.23632
0.36196 346.84 349.24 311.14 312.2 86.68 74.576 114.42 110.97 22.425 15.925 145.4 0.21354
0.37753 341.95 344.23 306.98 308.01 76.639 66.17 102.61 100.22 17.804 12.72 132.54 0.19223
0.39377 337.23 339.34 302.95 303.93 67.428 58.417 91.538 90.012 13.988 10.056 121.49 0.17215
0.41071 332.74 335.01 299.11 300.28 59.066 51.5 81.256 80.654 10.886 7.917 110.76 0.15373
0.42837 328.17 330.16 295.26 296.26 51.455 45.121 71.712 71.794 8.3794 6.1665 100.54 0.13667
0.4468 323.65 325.55 291.4 292.47 44.61 39.403 62.967 63.66 6.3869 4.7693 91.616 0.12104
0.46602 319.39 320.99 287.85 288.66 38.538 34.294 55.047 56.205 4.8291 3.6639 83.662 0.10684
0.48607 315.15 316.6 284.26 285.04 33.141 29.71 47.913 49.362 3.6172 2.788 76.171 0.093841
0.50697 310.93 312.27 280.71 281.46 28.382 25.685 41.526 43.221 2.6867 2.1127 69.341 0.082253
0.52878 306.68 308.04 277.17 277.96 24.206 22.147 35.836 37.714 1.9792 1.5923 63.218 0.071896
0.55153 302.58 303.74 273.75 274.41 20.586 19.003 30.829 32.728 1.449 1.1889 57.549 0.062563
0.57525 298.53 299.6 270.36 270.98 17.449 16.258 26.433 28.292 1.0536 0.8823 52.423 0.054267
0.6 294.42 295.48 266.93 267.57 14.744 13.899 22.587 24.418 0.76148 0.65382 47.755 0.04704
