# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.05 186.38 186.61 152.73 152.85 186.41 186.61 152.74 152.85 186.45 186.61 7810.5 1
0.052151 203.39 203.39 167.12 167.16 203.44 203.39 167.13 167.16 203.47 203.39 7565.9 1
0.054394 220.98 221.18 182.17 182.36 221.03 221.18 182.19 182.36 221.06 221.18 7343.6 1
0.056734 240.25 240.25 198.62 198.67 240.3 240.25 198.66 198.67 240.34 240.25 7136.4 1
0.059175 260.26 260.61 215.89 216.11 260.29 260.61 215.96 216.11 260.36 260.61 6940.2 1
0.06172 282.15 282.38 234.68 234.79 282.21 282.38 234.71 234.79 282.25 282.38 6751.5 1
0.064375 305.53 305.52 254.65 254.7 305.6 305.52 254.69 254.7 305.64 305.52 6562.5 1
0.067144 329.87 330.05 275.71 275.85 329.94 330.05 275.74 275.85 329.99 330.05 6366.2 1
0.070033 356.14 356.25 298.31 298.45 356.24 356.25 298.33 298.45 356.28 356.25 6155.6 1
0.073045 384.27 384.03 322.62 322.46 384.35 384.03 322.66 322.46 384.41 384.03 5924.1 1
0.076187 413.36 413.14 347.93 347.81 413.44 413.14 347.98 347.81 413.51 413.14 5669.2 1
0.079465 443.2 443.47 374.19 374.38 443.32 443.47 374.22 374.38 443.37 443.47 5390 1
0.082883 475.24 475.65 402.28 402.42 475.35 475.65 402.33 402.42 475.42 475.65 5088.2 1
0.086448 508.19 508.04 431.18 431.12 508.27 508.04 431.25 431.12 508.38 508.04 4772.3 1
0.090167 541.51 541.46 460.73 460.8 541.6 541.46 460.79 460.8 541.71 541.46 4451.1 1
0.094046 574.8 575.07 490.88 490.85 574.94 575.07 490.91 490.85 575.02 575.07 4139.9 1
0.098091 608.81 608.69 521.46 521.16 608.97 608.69 521.5 521.16 609.05 608.69 3849.5 1
0.10231 643.13 642.37 552.31 551.69 643.24 642.37 552.39 551.69 643.39 642.37 3588.4 1
0.10671 675.86 676.16 582.05 582.39 675.99 676.16 582.14 582.39 676.14 676.16 3367.4 1
0.1113 709.64 709.64 613.11 612.96 709.76 709.64 613.2 612.96 709.93 709.64 3187.6 1
0.11609 743.05 743.63 643.73 644.03 743.21 743.63 643.8 644.03 743.36 743.63 3040.3 1
0.12108 778.26 777.92 675.48 675.44 778.42 777.92 675.56 675.44 778.59 777.92 2916.9 1
0.12629 812.09 813.33 707.12 707.91 812.25 813.33 707.22 707.91 812.45 813.33 2803 1
0.13172 848.79 849.12 740.67 740.89 848.95 849.12 740.8 740.89 849.17 849.12 2681 1
0.13739 885.57 886.12 774.5 774.77 885.78 886.12 774.59 774.77 885.97 886.12 2539.9 1
0.1433 923.12 923.37 808.8 809.15 923.29 923.37 808.91 809.15 923.55 923.37 2372.5 1
0.14947 960.21 960.36 843.14 843.35 960.39 960.36 843.31 843.35 960.7 960.36 2188.1 1
0.1559 995.47 995.96 876.35 876.86 995.72 995.96 876.53 876.86 996.04 995.96 2000.6 1
0.1626 1029.2 1029.2 908.39 908.44 1029.5 1029.2 908.52 908.44 1029.9 1029.2 1829.8 1
0.1696 1061.8 1060.7 939.71 938.67 1062.1 1060.7 939.86 938.67 1062.5 1060.7 1688.7 1
