# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -234.53 -235.1 -360.81 -362.34 -214.83 -232.32 -307.45 -361.31 -195.14 -229.58 7315.7 0.98821 -352.28
0.052151 -247.35 -248.28 -376.85 -379.06 -226.17 -244.89 -320.62 -377.75 -205.09 -241.55 7053.1 0.98637 -368.82
0.054394 -263.36 -262.83 -395.81 -397.47 -239.96 -258.7 -336.66 -395.79 -216.77 -254.64 6815.7 0.98429 -386.91
0.056734 -278.48 -278.56 -415.2 -417.3 -253.43 -273.56 -352.69 -415.22 -228.71 -268.64 6594.3 0.98204 -406.28
0.059175 -294.36 -295.47 -435.81 -438.43 -267.05 -289.42 -369.72 -435.88 -240.23 -283.49 6384.1 0.97953 -426.82
0.06172 -313.27 -313.44 -457.73 -460.67 -283.42 -306.16 -387.46 -457.59 -254.27 -299.06 6180.7 0.97679 -448.29
0.064375 -332.33 -331.98 -481.43 -483.36 -299.72 -323.28 -407.11 -479.67 -268.04 -314.8 5975.3 0.97378 -470
0.067144 -350.75 -350.7 -504.16 -505.81 -315.36 -340.34 -425.61 -501.42 -281.21 -330.28 5760.4 0.97045 -491.22
0.070033 -368.04 -368.99 -525.05 -527.11 -329.67 -356.71 -442.41 -521.9 -292.88 -344.84 5529.4 0.96672 -511.04
0.073045 -384.76 -385.85 -542.72 -546.03 -342.52 -371.36 -456.21 -539.84 -302.34 -357.42 5276.1 0.96246 -528.15
0.076187 -400.58 -400.73 -559.71 -561.75 -355.18 -383.77 -469.96 -554.42 -312.34 -367.53 4999.5 0.95768 -541.71
0.079465 -412.67 -412.93 -570.87 -573.46 -363.47 -393.24 -478.74 -564.81 -317.45 -374.48 4700.3 0.95231 -550.92
0.082883 -422.71 -422.15 -578.85 -580.79 -369.85 -399.46 -483.8 -570.63 -320.9 -377.98 4383.5 0.94625 -555.41
0.086448 -427.93 -428.56 -580.94 -584.14 -371.16 -402.62 -483.69 -572.28 -319.15 -378.25 4059.4 0.93947 -555.55
0.090167 -430.58 -432.62 -580.53 -584.33 -370.81 -403.22 -481.53 -570.64 -316.66 -375.82 3738.6 0.93205 -552.22
0.094046 -436.23 -436.28 -581.51 -583.9 -371.93 -403.08 -480.67 -568.17 -314.4 -372.41 3439 0.92391 -547.81
0.098091 -439.68 -440.79 -581.81 -584.64 -371.22 -403.33 -478.83 -566.6 -310.76 -369.05 3169.8 0.91502 -544
0.10231 -447.22 -447.77 -586.6 -588.62 -373.32 -405.31 -480.14 -567.81 -308.97 -366.89 2937.4 0.90519 -542.52
0.10671 -459.34 -459.45 -596.82 -598.68 -378.23 -410.92 -486.32 -574.42 -308.7 -367.51 2749.8 0.89436 -545.89
0.1113 -477.11 -476.79 -613.96 -615.95 -387.58 -420.78 -497.95 -587.38 -312.11 -371.35 2603.5 0.88253 -554.84
0.11609 -499.08 -499.02 -637.25 -639.16 -399.34 -433.99 -512.7 -605.31 -316.75 -377.43 2486.1 0.86969 -567.99
0.12108 -525.62 -524.75 -665.31 -666.48 -413.36 -449.06 -531.87 -626.29 -322.2 -384.29 2385.6 0.85576 -583.39
0.12629 -552.34 -551.03 -692.79 -694.11 -426.37 -463.23 -548.98 -646.49 -326.17 -389.42 2285.4 0.84066 -597.4
0.13172 -573.58 -573.3 -714.47 -716.32 -434.17 -472.62 -560.41 -660.54 -325.73 -389.62 2170.2 0.82438 -605.13
0.13739 -588.42 -588.23 -726.85 -729.11 -435.87 -474.66 -564.78 -664.83 -320.02 -383.02 2032.2 0.80693 -603.38
0.1433 -591.79 -593.34 -727.05 -729.71 -428.23 -467.7 -557.79 -657.05 -307.16 -368.67 1871 0.78826 -590.36
0.14947 -590.96 -590.9 -719.41 -721.13 -416.73 -454 -544.95 -640.18 -291.32 -348.81 1700.8 0.76831 -569.04
0.1559 -586.11 -585.08 -708.1 -708.68 -401.77 -437.15 -528.72 -619.25 -273.02 -326.62 1537.5 0.74716 -544.19
0.1626 -582.98 -583.52 -699.76 -701.61 -387.9 -422.99 -514.57 -602.4 -255.92 -306.62 1400 0.72489 -523.01
0.1696 -590.55 -591.25 -703.83 -705.8 -380.01 -414.69 -508.08 -594.22 -242.46 -290.86 1295.2 0.70138 -509.34
0.17689 -608.82 -608.82 -720.68 -721.67 -378.35 -412.04 -509.95 -594.48 -233.2 -278.86 1218 0.67678 -502.77
0.1845 -634.39 -633.61 -745.2 -745.91 -379.66 -412.58 -516.48 -599.83 -225.41 -268.66 1157.7 0.65116 -500.2
0.19244 -658.21 -656.97 -768.01 -768.26 -377.94 -410.34 -519.46 -601.59 -215.31 -256.3 1096.6 0.6246 -494.36
0.20072 -669.4 -670.18 -776.66 -778.55 -367.82 -400.25 -511.26 -592.09 -200.58 -239.05 1021.8 0.59723 -479.2
0.20935 -670.15 -669.89 -771.74 -773.3 -351.72 -381.24 -494.04 -569.45 -183.29 -216.96 933.17 0.5691 -453.68
0.21835 -662.91 -662.62 -759.44 -760.16 -330.61 -358.12 -470.52 -540.43 -163.75 -193.54 843.4 0.54045 -423.63
0.22775 -659.02 -658.61 -750.57 -751.01 -311.9 -336.76 -449.15 -513.75 -146.69 -172.2 766.09 0.51133 -396.06
0.23754 -665.87 -664.85 -753.85 -753.68 -297.55 -320.5 -434.59 -494.51 -132.17 -154.5 706.85 0.48206 -374.78
0.24776 -683.63 -682.29 -768.97 -769.07 -287.43 -308.8 -425.37 -482.09 -120.17 -139.76 663.13 0.4526 -359.11
0.25842 -699.38 -698.87 -783.2 -783.43 -275.93 -295.87 -414.04 -467.56 -108.32 -125.26 620.96 0.42336 -342.22
0.26954 -704.51 -704.67 -784.55 -785.71 -259.76 -277.83 -395.36 -444.56 -95.349 -109.54 572.56 0.39427 -319.65
0.28113 -700.44 -699.88 -776.25 -776.37 -240.26 -256 -371.21 -414.91 -82.08 -93.641 520.03 0.36578 -293.03
0.29322 -696.78 -696.29 -768.06 -768.51 -221.66 -235.18 -347.31 -386.06 -70.276 -79.433 473.15 0.33776 -267.84
0.30584 -701.54 -701.33 -770.51 -770.35 -205.98 -217.93 -327.7 -362.42 -60.3 -67.719 435.96 0.31074 -246.99
0.31899 -712.71 -712.04 -778.53 -778.49 -192.44 -202.57 -310.71 -341.29 -51.832 -57.628 404.92 0.28449 -228.5
0.33272 -717.38 -717.5 -781.03 -780.96 -177.35 -186.15 -290.51 -317.73 -43.758 -48.293 373.36 0.25944 -209.01
0.34703 -715.86 -714.95 -775.76 -774.81 -161.32 -168.31 -268.15 -290.97 -36.298 -39.624 340.44 0.23542 -188.13
0.36196 -710.57 -711.97 -767.1 -768.36 -145.34 -151.6 -245.06 -265.39 -29.692 -32.282 310.28 0.21294 -168.72
0.37753 -715.57 -716.42 -769.79 -770.07 -132.32 -137.27 -226.15 -243.26 -24.447 -26.3 285.77 0.1916 -152.12
0.39377 -722.54 -720.35 -772.9 -771.32 -120.18 -123.75 -208.36 -221.96 -19.977 -21.26 263.07 0.1718 -136.58
0.41071 -718.35 -719.07 -766.45 -767.11 -107.06 -110.22 -188.01 -199.97 -15.948 -16.895 240.41 0.15328 -121.17
0.42837 -719.04 -717.09 -763.29 -762.27 -95.647 -97.802 -170.01 -179.39 -12.719 -13.339 219.54 0.13639 -107.1
0.4468 -718.84 -717.97 -760.66 -760.62 -84.963 -86.706 -152.86 -160.72 -10.041 -10.471 201.31 0.12076 -94.599
0.46602 -718.57 -718 -758.22 -758.15 -75.166 -76.502 -136.82 -143.23 -7.8625 -8.1513 184.38 0.10655 -83.165
0.48607 -716.66 -715.38 -754.25 -753.05 -66.147 -67.083 -121.62 -126.77 -6.1056 -6.2905 168.29 0.093772 -72.675
0.50697 -713.45 -713.92 -748.76 -749.23 -57.844 -58.647 -107.41 -111.77 -4.6903 -4.8177 153.86 0.082148 -63.32
0.52878 -711.27 -712.46 -744.29 -745.56 -50.484 -51.135 -94.588 -98.235 -3.5837 -3.6701 140.67 0.071773 -55.031
0.55153 -714.61 -709.11 -740.14 -740.01 -43.283 -44.338 -83.04 -85.804 -2.7397 -2.7723 128.3 0.062526 -47.566
0.57525 -715.17 -706.61 -735.34 -735.47 -37.024 -38.388 -72.385 -74.783 -2.0756 -2.0855 117.17 0.054326 -41.059
0.6 -732.59 -703.66 -730.09 -730.54 -30.098 -33.11 -63.011 -64.879 -1.596 -1.558 106.94 0.047054 -35.31
