# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x 
0.03 -95.417 -96.806 -152.35 -96.224 -84.576 -89.913 -130.53 -94.562 -79.39 -83.511 11518 0.9288
0.033265 -108.81 -109.48 -168.81 -108.73 -94.52 -100.53 -144.08 -106.45 -87.988 -92.311 10414 0.91826
0.036885 -120.92 -122.01 -183.06 -121.06 -102.97 -110.59 -155.55 -117.99 -95.263 -100.24 9267.7 0.90642
0.040899 -133.2 -134.55 -196.16 -133.36 -111.17 -120.17 -165.95 -129.28 -102.33 -107.34 8154.2 0.89318
0.04535 -145.93 -147.55 -209.26 -146.08 -119.45 -129.61 -175.97 -140.71 -109.75 -113.86 7131.4 0.87843
0.050285 -161.21 -162.09 -224.63 -160.27 -128.98 -139.73 -187.92 -153.22 -118.08 -120.46 6240.9 0.86207
0.055757 -178.2 -179.1 -241.55 -176.84 -139.26 -151.17 -200.57 -167.56 -127.29 -127.59 5490.9 0.84402
0.061825 -197.73 -198.57 -260.99 -195.78 -150.72 -163.67 -214.87 -183.57 -137.71 -134.9 4846.2 0.82421
0.068553 -217.48 -217.95 -279.14 -214.53 -161.26 -174.92 -227.71 -198.7 -147.29 -140.39 4234.6 0.80259
0.076013 -230.68 -231.68 -289.34 -227.66 -166.03 -180.51 -233.19 -207.86 -151.75 -140.64 3584.5 0.77913
0.084285 -234.05 -233.86 -286.29 -229.38 -162.93 -176.29 -227.66 -205.98 -148.98 -132.89 2882.1 0.75382
0.093458 -225.66 -226.42 -270.03 -221.65 -151.59 -164.54 -211.27 -195.25 -138.86 -119.57 2222.3 0.72668
0.10363 -223.07 -223.22 -261.14 -218.07 -143.85 -155.76 -200.53 -187.89 -131.82 -108.69 1747.3 0.69779
0.11491 -236.59 -236.39 -271.4 -230.44 -146.06 -157.73 -203.82 -193.58 -134.1 -105.24 1477 0.66724
0.12741 -258.08 -258.01 -290.31 -250.97 -151.78 -163.88 -212.63 -204.81 -139.53 -104.09 1287.6 0.63517
0.14128 -260.65 -260.59 -288.42 -252.91 -145.48 -156.81 -205.25 -199.71 -134.05 -94.365 1039.8 0.60177
0.15665 -241.59 -241.3 -262.65 -233.65 -127.27 -136.88 -180.78 -177.76 -117.49 -77.641 770.95 0.56724
0.1737 -239.12 -239.19 -256.35 -231.08 -118.29 -127.21 -169.81 -168.58 -109.42 -67.658 612.29 0.53185
0.1926 -254.89 -254.6 -269.58 -245.41 -117.81 -126.25 -170.97 -170.81 -109.26 -62.606 522.85 0.49588
0.21356 -244.46 -244.31 -255.13 -234.96 -104.91 -112.3 -154.19 -155.17 -97.511 -51.618 402.86 0.45965
0.2368 -235.33 -235.03 -242.67 -225.53 -93.175 -99.53 -138.93 -140.51 -86.746 -42.149 311.55 0.42348
0.26257 -241.99 -241.54 -246.87 -231.28 -87.879 -93.647 -133.03 -135.09 -81.991 -36.309 257.69 0.38772
0.29115 -229.79 -229.69 -232.36 -219.49 -76.041 -81.01 -116.97 -119.42 -71.087 -28.571 197.31 0.35269
0.32283 -230.53 -230.82 -230.9 -220.14 -69.008 -73.567 -107.98 -110.82 -64.587 -23.447 159.84 0.31871
0.35796 -223.68 -223.62 -222.18 -212.87 -60.197 -63.975 -95.782 -98.456 -56.437 -18.303 124.96 0.28609
0.39692 -221.8 -221.57 -218.86 -210.56 -53.307 -56.517 -86.3 -88.829 -50.069 -14.416 99.997 0.25508
0.44011 -216.49 -216.53 -212.23 -205.44 -46.132 -48.912 -75.971 -78.474 -43.383 -11.049 78.958 0.2259
0.48801 -212.89 -212.61 -207.46 -201.44 -39.944 -42.249 -66.97 -69.149 -37.603 -8.3954 62.679 0.19871
0.54111 -209.2 -208.62 -202.86 -197.4 -34.333 -36.226 -58.546 -60.442 -32.352 -6.2906 49.775 0.17365
0.6 -204.56 -204.23 -197.42 -193.02 -29.171 -30.79 -50.59 -52.323 -27.513 -4.642 39.446 0.15076
