# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.05 159.03 158.85 131.2 131.03 157.6 157.11 131.01 130.79 156.25 155.38 6582.7 0.989
0.054473 183.52 183.47 152.58 152.48 181.42 180.74 152.27 152.02 179.41 178.05 5932.9 0.9851
0.059347 209.22 208.8 175.2 174.87 206.17 204.69 174.69 174.09 203.27 200.66 5354.6 0.98031
0.064656 235.91 235.72 198.85 198.57 231.55 229.72 198.01 197.38 227.38 223.87 4831 0.97454
0.070441 263.45 263.72 223.36 223.38 257.36 255.14 222.07 221.61 251.53 246.83 4322.8 0.96745
0.076742 291.22 290.88 248.25 247.75 282.94 278.8 246.18 245.14 275.07 267.22 3795.6 0.95848
0.083608 317.91 317.98 272.52 272.25 306.41 301.11 269.41 268.32 295.47 285.13 3234.9 0.94694
0.091088 342.21 342.4 295.06 294.65 326.2 319.29 290.54 288.8 311.04 297.74 2671.7 0.93251
0.099237 362.12 362.43 314.13 313.76 340.78 331.63 307.53 305.37 320.8 303.44 2177.6 0.91501
0.10812 377.06 378.01 328.99 329 348.98 337.9 319.6 317.23 323.09 302.03 1818.4 0.89387
0.11779 387.89 389.49 340.1 340.41 351.25 338.18 326.91 324.13 318.22 293.63 1583.8 0.86827
0.12833 397.32 399.21 349.72 349.99 350.13 334.62 331.34 327.93 308.75 280.48 1410.5 0.83821
0.13981 406.17 408.02 358.52 358.47 346.21 327.66 333.04 328.9 295.4 263.12 1214.4 0.80304
0.15231 412.54 414.49 365.1 365.12 337.23 316.17 330.81 326.17 276.03 241.17 980.86 0.76278
0.16594 413.53 415.77 367.07 367.13 321.31 298.29 322.12 317.07 250.18 214.01 777.98 0.71745
0.18079 409.92 412.84 364.71 365.41 299.16 275.46 307.79 302.48 219.01 183.79 656.56 0.66723
0.19696 405.71 408.86 361.51 362.37 274.39 250.59 289.09 284.68 186.39 153.58 574.22 0.61289
0.21458 401.59 404.85 358.14 359.18 247.84 224.82 268.13 264.7 153.81 124.85 471.55 0.55532
0.23378 394.19 397.53 351.89 353.06 218.44 197.06 242.69 240.88 121.93 97.685 375.76 0.49571
0.25469 384.76 387.86 343.82 345.02 188.14 168.89 214.82 214.7 92.822 73.543 318.39 0.43544
0.27748 376.25 379.43 336.38 337.74 158.95 142.75 186.49 188.62 67.851 53.702 266.56 0.37621
0.30231 366.8 369.51 328.19 329.35 131.18 117.98 158.08 162.17 47.458 37.671 215.2 0.3193
0.32935 356.75 360.06 319.49 321.3 105.69 95.876 130.62 136.93 31.69 25.53 181.15 0.26628
0.35882 347.42 350.4 311.44 313.15 83.396 76.417 105.55 113.29 20.259 16.665 148.62 0.21809
0.39092 337.79 339.82 303.25 304.3 64.319 59.641 83.224 91.624 12.383 10.468 123.33 0.17551
0.42589 328.65 330.83 295.5 296.84 48.654 45.951 64.235 72.962 7.2705 6.3825 101.81 0.1389
0.46399 319.69 321.43 288 289.03 36.132 34.79 48.628 56.938 4.1129 3.7655 84.467 0.10824
0.5055 311.09 312.35 280.78 281.53 26.412 25.935 36.245 43.607 2.253 2.1535 69.78 0.083034
0.55073 302.66 303.73 273.74 274.41 19.044 19.091 26.673 32.869 1.2013 1.1999 57.742 0.062854
0.6 294.48 295.51 266.92 267.62 13.584 13.901 19.443 24.422 0.62714 0.65388 47.755 0.04704
