# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, PL_cc, TL_x 
0.03 59.611 59.623 46.756 46.727 55.37 55.378 45.925 45.92 11518 0.9288
0.031159 65.437 65.448 51.54 51.538 60.594 60.545 50.563 50.582 11122 0.92507
0.032364 71.594 71.808 56.632 56.724 66.091 66.148 55.485 55.594 10715 0.92119
0.033615 78.214 78.421 62.114 62.201 71.956 71.922 60.77 60.871 10299 0.91712
0.034914 85.335 85.291 68.046 67.957 78.228 77.861 66.474 66.399 9878.2 0.91289
0.036263 92.598 92.744 74.187 74.192 84.565 84.255 72.35 72.369 9456 0.90847
0.037665 100.33 100.44 80.683 80.671 91.255 90.788 78.547 78.546 9036.3 0.90386
0.03912 108.33 108.66 87.468 87.579 98.126 97.695 84.992 85.108 8623.9 0.89906
0.040632 116.73 116.82 94.58 94.531 105.25 104.45 91.722 91.674 8222 0.89406
0.042203 125.39 125.66 102.01 102.03 112.52 111.7 98.712 98.731 7831.5 0.88886
0.043834 134.49 134.52 109.73 109.63 120.06 118.84 105.95 105.84 7455 0.88345
0.045528 143.44 143.88 117.51 117.7 127.38 126.3 113.17 113.34 7094.4 0.87783
0.047287 152.87 153.19 125.7 125.73 135 133.58 120.74 120.75 6751.6 0.872
0.049115 162.66 162.87 134.1 134.07 142.78 141.04 128.45 128.41 6430.7 0.86594
0.051013 172.22 172.7 142.61 142.57 150.25 148.46 136.18 136.14 6129.5 0.85966
0.052985 182.37 182.89 151.28 151.48 158.03 156.03 144.01 144.19 5846.5 0.85315
0.055033 192.26 192.99 160.06 160.2 165.45 163.35 151.84 151.98 5580.5 0.8464
0.05716 202.51 203.22 168.97 169.28 173.03 170.59 159.71 160.01 5329.1 0.83942
0.059369 212.89 213.56 178.08 178.21 180.49 177.73 167.69 167.82 5089.9 0.8322
0.061663 223.33 223.79 187.24 187.22 187.83 184.57 175.59 175.59 4861.6 0.82474
0.064047 234 234.59 196.58 196.63 195.16 191.67 183.55 183.64 4637.6 0.81703
0.066522 244.47 245.54 205.97 206.23 202.14 198.66 191.43 191.74 4414 0.80908
0.069093 255.41 256.51 215.54 215.85 209.26 205.43 199.35 199.72 4187.3 0.80088
0.071763 265.89 266.97 224.77 225.03 215.75 211.56 206.81 207.17 3954.3 0.79243
0.074537 276.51 277.11 234.15 234.16 222.13 217.18 214.25 214.42 3712.9 0.78373
0.077418 286.77 287.72 243.33 243.44 227.98 222.92 221.37 221.66 3462.7 0.77478
0.08041 296.49 298.1 252.1 252.74 233.16 228.22 227.92 228.76 3205.5 0.76558
0.083517 306.02 307.19 260.8 261.01 237.91 232.28 234.23 234.75 2945.3 0.75613
0.086745 314.29 315.99 268.4 268.89 241.43 235.87 239.39 240.24 2688.3 0.74644
0.090098 322.26 323.51 275.85 276.1 244.42 238.26 244.23 244.96 2441.7 0.73651
0.09358 329.06 330.63 282.31 282.86 246.3 240.15 247.99 249.11 2215.4 0.72633
0.097197 334.46 336.59 287.84 288.51 246.91 240.97 250.72 252.11 2016.6 0.71591
0.10095 339.83 341.33 292.92 293.32 247.23 240.73 252.96 254.23 1847.4 0.70527
0.10486 343.14 345.23 296.64 297.31 245.88 239.73 253.77 255.48 1708.1 0.69439
0.10891 346.54 348.77 300.08 301 244.36 238.31 254.25 256.31 1596.5 0.6833
0.11312 349.22 351.29 303.04 303.84 242.15 236.06 254.13 256.28 1507.4 0.67198
0.11749 351.67 353.6 305.74 306.41 239.66 233.54 253.65 255.88 1434.7 0.66046
0.12203 354.08 356.12 308.33 309.05 237 231.03 252.91 255.39 1367.8 0.64874
0.12675 356.6 358.73 310.91 311.91 234.28 228.45 252.03 254.94 1297.8 0.63683
0.13164 358.7 361.23 313.27 314.32 231.14 225.67 250.77 253.96 1218.4 0.62474
0.13673 361.22 363.44 315.7 316.67 228.13 222.59 249.49 252.79 1126.9 0.61247
0.14202 363.42 364.98 318.08 318.32 224.82 219 247.91 250.91 1025.5 0.60004
0.14751 364.1 365.84 319.02 319.63 220.42 214.92 245.14 248.64 921.43 0.58747
0.15321 364.14 366.46 319.53 320.7 215.54 210.63 241.88 246.04 823.79 0.57475
0.15913 362.75 365.17 318.98 320.03 209.79 205.2 237.62 242 739.75 0.56191
