# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.03 -101.82 -104.28 -178.19 -180.29 -107.87 -104.28 -177.81 -180.29 -111.53 -104.28 11212 1 -172.05
0.05 -215.83 -217.91 -332.99 -335.4 -220.02 -217.91 -330.97 -335.4 -222.13 -217.91 7866.7 1 -335.29
0.07 -352.41 -354.62 -496.95 -499.87 -355.57 -354.62 -493.37 -499.87 -356.63 -354.62 6135.1 1 -512.49
0.09 -443.36 -445.62 -584.44 -587.97 -444.93 -445.3 -579.9 -588.48 -444.61 -444.98 4424.2 0.99929 -610.55
0.11 -464.56 -465.93 -581.84 -584.75 -464.29 -464.89 -576.9 -585.23 -462.41 -463.85 2963.4 0.99777 -609.93
0.13 -493.93 -495.24 -595.3 -598.13 -491.52 -492.61 -589.7 -598.07 -487.67 -489.99 2174.5 0.99468 -623.19
0.15 -478.13 -479.04 -558.88 -561.51 -473.56 -474.71 -553 -561.01 -467.83 -470.42 1533.2 0.99097 -582.81
0.17 -414.58 -415.49 -473.34 -475.56 -408.45 -409.97 -467.85 -474.89 -401.55 -404.51 1009.9 0.98669 -490.97
0.19 -394.46 -394.99 -441.71 -443.4 -386.19 -387.61 -436 -442.45 -377.47 -380.37 752.86 0.98132 -454.67
0.21 -395.97 -396.42 -436.37 -437.92 -384.72 -386.36 -429.92 -436.44 -373.34 -376.56 607.89 0.97463 -445.43
0.23 -366.4 -366.44 -398.22 -399.34 -352.77 -354.13 -391.38 -397.23 -339.42 -342.24 461.68 0.96642 -402.37
0.25 -341.62 -341.71 -367.02 -368.04 -325.38 -327.01 -359.59 -365.22 -309.83 -312.95 359.88 0.95699 -366.97
0.27 -333.76 -333.71 -354.9 -355.73 -314.01 -315.85 -346.41 -352.03 -295.46 -298.95 298.14 0.94649 -350.69
0.29 -316.56 -316.29 -333.49 -334.06 -293.73 -295.59 -324.01 -329.4 -272.64 -276.24 242.7 0.93453 -325.2
0.31 -293.97 -293.7 -307.08 -307.61 -268.65 -270.6 -296.68 -301.99 -245.67 -249.31 195.67 0.92134 -295.34
0.33 -282.07 -281.82 -292.43 -292.89 -253.46 -255.62 -280.78 -286.08 -227.97 -231.86 164.53 0.90704 -277.06
0.35 -271.38 -270.99 -279.31 -279.61 -239.44 -241.59 -266.23 -271.44 -211.52 -215.38 139.77 0.89151 -260.23
0.37 -255.98 -255.6 -261.7 -261.96 -221.44 -223.65 -247.38 -252.55 -191.84 -195.7 117.32 0.875 -239.61
0.39 -243.58 -243.12 -247.44 -247.58 -206.29 -208.49 -231.77 -236.81 -175.01 -178.79 99.966 0.85754 -222.28
0.41 -234.34 -233.88 -236.66 -236.71 -194.01 -196.27 -219.4 -224.4 -160.94 -164.7 86.631 0.83918 -208.35
0.43 -224.23 -223.55 -225.11 -224.94 -181.27 -183.35 -206.4 -211.14 -146.86 -150.37 74.998 0.82016 -193.88
0.45 -213.92 -213.37 -213.57 -213.5 -168.62 -170.78 -193.46 -198.2 -133.23 -136.7 65.124 0.8004 -179.96
0.47 -205.4 -204.8 -203.99 -203.82 -157.66 -159.78 -182.33 -186.96 -121.33 -124.65 57.126 0.78016 -167.83
0.49 -197.81 -197.32 -195.46 -195.36 -147.66 -149.86 -172.2 -176.87 -110.51 -113.82 50.489 0.75948 -156.96
0.51 -190.14 -189.56 -186.94 -186.73 -137.86 -139.98 -162.18 -166.67 -100.23 -103.36 44.658 0.73844 -146.23
0.53 -182.98 -182.41 -179.03 -178.81 -128.71 -130.81 -152.76 -157.18 -90.788 -93.808 39.694 0.71713 -136.32
0.55 -176.54 -176 -171.95 -171.72 -120.37 -122.45 -144.2 -148.52 -82.307 -85.196 35.489 0.69576 -127.33
0.57 -170.39 -169.88 -165.22 -165 -112.46 -114.54 -135.97 -140.24 -74.446 -77.222 31.827 0.67421 -118.86
0.59 -164.73 -164.2 -159.03 -158.78 -105.15 -107.18 -128.29 -132.5 -67.312 -69.964 28.66 0.65276 -111.03
