# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, dxdx22, dxdx22_EdS, PL_cc, TL_x 
0.03 45.499 45.468 34.98 34.964 45.513 45.468 34.99 34.964 45.503 45.468 11212 1
0.05 167.36 167.41 135.59 135.67 167.39 167.41 135.63 135.67 167.36 167.41 7866.7 1
0.07 329.53 329.87 273.65 273.92 329.56 329.87 273.7 273.92 329.53 329.87 6135.1 1
0.09 500.07 500.44 422.29 422.45 499.95 500.08 422.36 422.81 499.75 499.73 4424.2 0.99929
0.11 634.89 634.49 544.13 543.59 634.23 633.07 544.17 544.04 633.46 631.66 2963.4 0.99777
0.13 715.66 715.71 620.65 620.12 713.92 711.91 620.54 620.06 712 708.12 2174.5 0.99468
0.15 754.92 754.08 660.49 659.28 751.57 747.27 660.06 658.7 748 740.52 1533.2 0.99097
0.17 751.38 751.63 663.68 662.9 746.06 741.63 662.8 661.97 740.51 731.76 1009.9 0.98669
0.19 719.08 719.17 640.36 639.2 711.53 705.74 638.88 637.82 703.77 692.55 752.86 0.98132
0.21 678.45 678.44 608.06 606.7 668.37 661.23 605.81 604.66 658.16 644.46 607.89 0.97463
0.23 636.98 637.12 574.38 572.49 624.6 615.73 571.37 569.46 612.34 595.05 461.68 0.96642
0.25 593.9 594.16 537.91 536.11 578.72 568.61 533.61 532 563.9 544.16 359.88 0.95699
0.27 552.12 553.09 502.09 500.69 533.69 523.49 496.85 495.48 515.64 495.48 298.14 0.94649
0.29 514.78 515.35 469.75 467.69 492.93 481.61 463.36 461.16 471.62 450.08 242.7 0.93453
0.31 479.88 480.52 438.85 436.98 454.63 442.72 431.06 428.99 430.26 407.89 195.67 0.92134
0.33 446.77 447.92 409.31 408.04 418.03 406.29 400.02 398.55 390.64 368.52 164.53 0.90704
0.35 417.06 418.49 382.94 381.61 384.88 373.09 372.04 370.47 354.65 332.62 139.77 0.89151
0.37 390.73 391.98 359.07 357.61 354.96 342.98 346.39 344.77 321.92 300.11 117.32 0.875
0.39 366.08 367.02 336.71 335.05 326.86 314.74 322.13 320.48 291.32 269.9 99.966 0.85754
0.41 343.7 345.15 316.24 315.04 301.14 289.64 299.68 298.65 263.35 243.06 86.631 0.83918
0.43 323.3 324.95 297.5 296.5 277.47 266.51 278.83 278.31 237.72 218.58 74.998 0.82016
0.45 304.74 306.54 280.35 279.59 255.85 245.36 259.68 259.56 214.42 196.38 65.124 0.8004
0.47 288.01 289.72 264.87 264.05 236.16 226.03 242.11 242.2 193.32 176.34 57.126 0.78016
0.49 272.75 274.4 250.64 249.88 218.17 208.4 225.95 226.23 174.25 158.28 50.489 0.75948
0.51 258.9 260.53 237.72 237 201.68 192.38 211.07 211.54 156.9 142.06 44.658 0.73844
0.53 245.91 247.72 225.62 225.09 186.33 177.65 197.14 197.86 141.02 127.4 39.694 0.71713
0.55 234.42 235.94 214.8 214.12 172.46 164.15 184.41 185.19 126.75 114.21 35.489 0.69576
0.57 223.45 225.15 204.47 204.07 159.38 151.8 172.23 173.44 113.6 102.34 31.827 0.67421
0.59 213.8 215.4 195.38 194.95 147.67 140.6 161.23 162.68 101.95 91.781 28.66 0.65276
