# k, dcdc22, dcdc22_EdS, dcTc22, dcTc22_EdS, dcdx22, dcdx22_EdS, dcTx22, dcTx22_EdS, PL_cc, TL_x 
0.05 167.59 167.57 138.59 138.13 146.74 144.61 132.53 132.11 6287.1 0.86301
0.054132 186.65 188.28 155.59 156.17 161.28 159.92 147.76 148.37 5693.1 0.84937
0.058605 209.22 209.86 175.26 175.01 177.97 175.16 165.15 165.02 5171.7 0.83469
0.063448 230.53 232.51 193.98 194.71 192.74 190.41 181.27 182.04 4692.3 0.81896
0.068691 252.53 254.56 213.41 214.06 207.31 204.19 197.49 198.21 4222.5 0.80215
0.074368 275.49 276.88 233.44 233.89 221.58 217.14 213.66 214.24 3727.7 0.78426
0.080513 297.07 298.02 252.59 252.64 233.54 228.06 228.29 228.62 3196.7 0.76526
0.087166 315.93 317.21 269.79 270.15 242.34 236.38 240.39 241.16 2655.4 0.74519
0.09437 329.62 332.54 282.88 284.58 245.98 240.78 248.09 250.2 2170.4 0.72404
0.10217 339.89 342.51 294.03 294.61 246.28 240.4 253.01 254.67 1799 0.70186
0.11061 346.35 349.6 300.69 302.16 242.72 237.27 253.58 256.32 1558.1 0.67869
0.11975 351.57 354.64 306.28 307.56 237.58 232.15 252.58 255.51 1401.2 0.65459
0.12965 358.5 360.53 313.14 313.55 232.89 227.01 251.92 254.54 1252.1 0.62963
0.14036 361.88 365.06 317.09 318.4 225.44 220.46 248.08 251.98 1057.5 0.6039
0.15196 363.12 366.7 319.43 320.77 216.22 211.77 242.36 246.84 843.12 0.5775
0.16452 361.13 363.14 318.07 318.79 204.45 199.92 233.55 237.89 680.64 0.55054
0.17811 353.98 357.1 313.65 314.67 190.08 186.82 221.79 227.06 589.11 0.52315
0.19283 349.91 352.07 310.56 311.08 177.41 174.44 211.06 216.39 521.67 0.49546
0.20877 344.76 347.5 306.16 307.59 164.43 162.5 199.36 205.59 430.09 0.46762
0.22602 337.27 339.21 300.61 301.24 150.77 149.17 186.67 192.83 344.61 0.43977
0.2447 327.36 330.28 292.6 294.16 136.55 136.1 172.66 179.68 294.43 0.41207
0.26492 319.41 321.54 286.45 287.12 123.85 123.69 159.97 166.73 252.25 0.38467
0.28681 311.54 312.89 279.77 280.07 111.76 111.93 147.38 154.03 204.74 0.35772
0.31051 302.59 303.78 272.27 272.66 100.01 100.66 134.72 141.46 172.72 0.33137
0.33617 293.33 295.19 264.66 265.55 88.967 90.255 122.42 129.43 145.56 0.30575
0.36395 284.17 286.42 257.01 258.27 78.774 80.482 110.67 117.76 120.32 0.281
0.39402 276.9 277.87 251.01 251.15 69.887 71.472 100.22 106.67 101.69 0.25722
0.42658 268.34 269.85 243.81 244.45 61.394 63.283 89.876 96.292 84.529 0.23451
0.46184 261.12 262.22 237.56 238.1 53.939 55.842 80.53 86.607 71.095 0.21296
0.5 254.05 254.73 231.55 231.74 47.215 49.068 71.835 77.493 59.327 0.19263
