# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -139.85 -141.54 -202.45 -205.33 -125.62 -127.66 -169.96 -202.64 -111.48 -115.13 5505.6 0.90189 -186.35
0.052151 -147.24 -148.88 -210.94 -213.81 -130.64 -133.48 -176.71 -210.69 -114.6 -119.68 5282.6 0.89659 -193.41
0.054394 -155.42 -157 -220.36 -223.22 -136.22 -139.89 -184.21 -219.58 -118.13 -124.65 5084.8 0.89104 -201.16
0.056734 -164.36 -165.99 -230.71 -233.65 -142.35 -146.94 -192.38 -229.4 -122.03 -130.07 4902.1 0.88523 -209.68
0.059175 -174.05 -175.49 -241.74 -244.63 -148.92 -154.29 -201.11 -239.69 -126.18 -135.64 4729.3 0.87915 -218.54
0.06172 -184.08 -185.54 -253.16 -256.05 -155.63 -161.93 -210.06 -250.29 -130.35 -141.33 4561 0.87277 -227.6
0.064375 -194.33 -195.66 -264.6 -267.44 -162.33 -169.46 -218.93 -260.78 -134.38 -146.78 4389.4 0.86612 -236.44
0.067144 -204.38 -205.6 -275.48 -278.32 -168.67 -176.65 -227.27 -270.64 -137.98 -151.78 4208.1 0.85919 -244.61
0.070033 -213.72 -214.97 -285.26 -288.12 -174.23 -183.15 -234.58 -279.34 -140.84 -156.03 4011.5 0.85195 -251.57
0.073045 -221.81 -223.03 -293.21 -296.1 -178.59 -188.32 -240.29 -286.14 -142.6 -159.01 3795.9 0.84438 -256.74
0.076187 -228.27 -229.43 -298.87 -301.73 -181.47 -191.91 -244.01 -290.52 -143.11 -160.53 3561.9 0.83647 -259.66
0.079465 -232.79 -233.82 -301.93 -304.56 -182.69 -193.65 -245.53 -292.1 -142.23 -160.38 3311.9 0.82821 -259.97
0.082883 -235.31 -236.32 -302.37 -304.99 -182.24 -193.7 -244.85 -291.25 -140.05 -158.76 3052.8 0.81963 -258.06
0.086448 -236.1 -237.16 -300.69 -303.2 -180.41 -192.26 -242.35 -288.21 -136.8 -155.87 2793.6 0.8107 -254.16
