# k, dcdc13, dcdc13_EdS, dcTc13, dcTc13_EdS, dcdx13, dcdx13_EdS, dcTx13, dcTx13_EdS, dxdx13, dxdx13_EdS, PL_cc, TL_x, dcdx13_IR 
0.05 -167.76 -168.83 -243.82 -247.77 -159.5 -166.98 -221.11 -247.33 -150.42 -165.14 6582.7 0.989 -247.12
0.052151 -174.76 -175.8 -251.29 -255.29 -165.83 -173.54 -227.7 -254.68 -156.04 -171.31 6251.6 0.98715 -254.8
0.054394 -182.18 -183.3 -259.16 -263.43 -172.48 -180.59 -234.63 -262.64 -161.93 -177.91 5943.1 0.98518 -263.05
0.056734 -190.14 -191.31 -267.56 -271.9 -179.52 -188.04 -241.98 -270.9 -168.11 -184.83 5651.1 0.98293 -271.5
0.059175 -198.38 -199.63 -276.18 -280.71 -186.78 -195.74 -249.51 -279.48 -174.41 -191.92 5373.7 0.98049 -280.24
0.06172 -207.01 -208.28 -285.11 -289.77 -194.26 -203.66 -257.29 -288.28 -180.8 -199.14 5110.8 0.9778 -289.1
0.064375 -215.94 -217.23 -294.26 -299 -201.91 -211.77 -265.2 -297.23 -187.26 -206.45 4857.1 0.97485 -298
0.067144 -224.76 -226.04 -303.09 -307.89 -209.32 -219.62 -272.78 -305.8 -193.36 -213.38 4607.1 0.9716 -306.4
0.070033 -233.3 -234.67 -311.34 -316.26 -216.29 -227.16 -279.78 -313.8 -198.91 -219.88 4357.3 0.96798 -314.12
0.073045 -241.12 -242.45 -318.45 -323.4 -222.43 -233.71 -285.68 -320.53 -203.55 -225.27 4103.5 0.96392 -320.43
0.076187 -247.8 -249.09 -323.9 -328.89 -227.3 -238.96 -290 -325.51 -206.88 -229.24 3841.7 0.95933 -324.85
0.079465 -252.75 -253.99 -327.01 -331.98 -230.38 -242.34 -292.14 -328.02 -208.38 -231.23 3570.8 0.95413 -326.63
0.082883 -255.78 -257.11 -327.7 -332.71 -231.52 -243.81 -292.02 -328.05 -207.96 -231.19 3293 0.94826 -325.78
0.086448 -256.78 -258.03 -325.69 -330.62 -230.56 -242.98 -289.36 -325.2 -205.47 -228.81 3012.2 0.94167 -321.93
0.090167 -256.01 -257.09 -321.51 -326.18 -227.88 -240.21 -284.71 -319.94 -201.34 -224.44 2735.3 0.93435 -315.54
0.094046 -254.18 -255.18 -316.23 -320.68 -224.07 -236.39 -278.98 -313.55 -196.1 -218.98 2475.5 0.92635 -307.92
0.098091 -252.33 -253.26 -310.99 -315.26 -220.12 -232.39 -273.22 -307.16 -190.65 -213.24 2239.6 0.91761 -300.2
0.10231 -251.33 -252.22 -306.91 -311.03 -216.71 -229 -268.37 -301.8 -185.55 -207.92 2033.1 0.90795 -293.37
0.10671 -252.58 -253.44 -305.65 -309.69 -215.01 -227.42 -265.86 -299.08 -181.78 -204.08 1862.9 0.89734 -289
0.1113 -256.96 -257.79 -308.14 -312.11 -215.63 -228.31 -266.42 -299.77 -179.75 -202.2 1727.1 0.88564 -287.78
0.11609 -263.84 -264.58 -313.63 -317.52 -218.03 -230.96 -269.38 -303.06 -179.01 -201.62 1617 0.87295 -288.84
0.12108 -272.89 -273.54 -321.65 -325.43 -221.71 -235 -274.15 -308.41 -179 -201.89 1525.4 0.8591 -291.65
0.12629 -282.96 -283.56 -330.68 -334.43 -225.65 -239.37 -279.49 -314.4 -178.86 -202.08 1442.3 0.84418 -294.81
0.13172 -291.63 -292.08 -338.02 -341.63 -227.89 -241.84 -282.98 -318.21 -177.04 -200.24 1355.8 0.82799 -295.68
0.13739 -296.84 -297.36 -341.28 -344.86 -226.9 -241.05 -282.73 -317.91 -172.47 -195.39 1259 0.81061 -292.52
0.1433 -296.98 -297.26 -338.76 -341.98 -221.57 -235.42 -277.29 -311.57 -164.43 -186.45 1149.2 0.79198 -283.71
0.14947 -292.47 -292.63 -331.02 -334.01 -212.54 -225.94 -267.38 -300.31 -153.68 -174.45 1032.9 0.77211 -270.45
0.1559 -285.05 -285.25 -320.19 -322.96 -201.33 -214.21 -254.81 -286.07 -141.51 -160.86 918.93 0.75094 -254.6
0.1626 -278.41 -278.48 -310.42 -312.9 -190.67 -202.91 -243 -272.59 -129.99 -147.85 819.29 0.72864 -239.62
0.1696 -275.5 -275.48 -304.93 -307.2 -182.48 -194.24 -234.39 -262.68 -120.34 -136.96 740.18 0.7051 -227.92
0.17689 -277.35 -277.42 -304.81 -307.05 -177.19 -188.76 -229.56 -257.15 -112.74 -128.43 680.53 0.6804 -220.09
0.1845 -283.73 -283.57 -309.69 -311.57 -174.37 -185.65 -228.02 -254.98 -106.76 -121.54 635.94 0.65469 -215.14
0.19244 -291.51 -291.31 -316.01 -317.83 -171.81 -182.95 -226.93 -253.54 -100.91 -114.89 596.9 0.62801 -210.78
0.20072 -295.97 -295.66 -318.73 -320.35 -166.79 -177.54 -222.68 -248.42 -93.696 -106.61 553.81 0.60047 -203.39
0.20935 -294.32 -293.94 -314.94 -316.34 -158.09 -168.19 -213.44 -237.77 -84.671 -96.234 503.32 0.57218 -191.61
0.21835 -287.7 -287.3 -305.94 -307.16 -146.8 -156.1 -200.57 -223.1 -74.711 -84.811 449.66 0.54332 -176.9
0.22775 -280.5 -280.15 -296.5 -297.59 -135.5 -144.01 -187.43 -208.19 -65.306 -74.031 400.91 0.51406 -162.35
0.23754 -276.92 -276.37 -290.96 -291.79 -126.18 -133.9 -176.78 -195.93 -57.376 -64.873 361.88 0.4845 -150.21
0.24776 -279.34 -278.85 -291.87 -292.63 -119.62 -126.85 -169.85 -187.92 -51.138 -57.703 333.93 0.4549 -141.61
0.25842 -283.85 -283.31 -294.96 -295.56 -113.79 -120.5 -163.78 -180.8 -45.55 -51.251 310.38 0.42532 -133.87
0.26954 -285.34 -284.72 -294.94 -295.38 -106.68 -112.79 -155.71 -171.48 -39.838 -44.683 285.51 0.39615 -124.76
0.28113 -281.61 -280.99 -289.6 -289.96 -97.776 -103.21 -144.76 -159.04 -33.917 -37.908 257.9 0.3673 -113.68
0.29322 -276.08 -275.53 -282.56 -282.84 -88.684 -93.48 -133.18 -146 -28.467 -31.716 231.43 0.33928 -102.53
0.30584 -273.32 -272.75 -278.38 -278.6 -80.853 -85.075 -123.19 -134.69 -23.906 -26.536 209.75 0.31191 -92.933
0.31899 -274.34 -273.7 -278.2 -278.26 -74.445 -78.175 -115.07 -125.47 -20.195 -22.329 192.78 0.28563 -85.072
0.33272 -275.59 -275 -278.28 -278.29 -68.272 -71.561 -107.05 -116.42 -16.911 -18.622 177.33 0.26023 -77.574
0.34703 -273.31 -272.71 -274.84 -274.81 -61.585 -64.448 -97.929 -106.26 -13.876 -15.231 161.1 0.23632 -69.618
0.36196 -269.27 -268.79 -269.74 -269.73 -54.923 -57.396 -88.551 -95.875 -11.203 -12.256 145.4 0.21354 -61.781
0.37753 -267.93 -267.39 -267.41 -267.31 -49.266 -51.4 -80.511 -86.975 -9.06 -9.8806 132.54 0.19223 -55.147
0.39377 -267.93 -267.35 -266.49 -266.29 -44.201 -46.024 -73.192 -78.867 -7.293 -7.9231 121.49 0.17215 -49.225
0.41071 -266.57 -266.16 -264.25 -264.18 -39.312 -40.916 -65.923 -70.956 -5.7984 -6.2899 110.76 0.15373 -43.623
0.42837 -263.98 -263.42 -260.88 -260.62 -34.649 -36.001 -58.811 -63.157 -4.5484 -4.9201 100.54 0.13667 -38.274
0.4468 -262.39 -262.06 -258.54 -258.47 -30.529 -31.719 -52.424 -56.259 -3.5523 -3.8392 91.616 0.12104 -33.624
0.46602 -261.31 -260.94 -256.78 -256.63 -26.852 -27.878 -46.622 -49.968 -2.7593 -2.9784 83.662 0.10684 -29.475
0.48607 -259.5 -259.13 -254.32 -254.16 -23.444 -24.317 -41.136 -44.015 -2.118 -2.2819 76.171 0.093841 -25.644
0.50697 -257.56 -257.24 -251.8 -251.67 -20.397 -21.159 -36.143 -38.647 -1.6151 -1.7404 69.341 0.082253 -22.259
